,IRN,ORGANIZATION NAME,GRADE SPAN,Address,ORG PHONE,Latitude,Longitude
58,8359,Pike-Delta-York Middle School,5-8,"1101 Panther Pride Dr, Delta, Ohio, 43515",(419) 822-9118,41.58042879999999,-83.99444820000002
59,8854,Dundee Elementary School,K-6,"8072 School St, Dundee, Ohio, 44624",(330) 852-2022,40.5852994,-81.60838059999998
60,448,Allen East Elementary School,K-5,"9105 Harding Hwy, Harrod, Ohio, 45850",(419) 648-3333,40.73379600000001,-83.93127299999998
61,943,First Step Preschool and Daycare,P,"7700 Malibu Dr, Parma, Ohio, 44130",(440) 885-8645,41.357433,-81.77039599999998
62,1339,Austintown Middle School,6-8,"800 S Raccoon Rd, Youngstown, Ohio, 44515",(330) 797-3900,41.09188899999999,-80.73363100000002
63,3616,Brimfield Elementary School,K-5,"4170 State Route 43, Kent, Ohio, 44240",(330) 673-8581,41.103686,-81.3437178
64,4507,Harrison Central Jr./Sr. High School,7-12,"100 Huskies Way, Cadiz, Ohio, 43907",(740) 942-7700,40.268933200000006,-80.9922728
65,4796,Canfield High School,9-12,"100 Cardinal Dr, Canfield, Ohio, 44406",(330) 533-5507,41.028398,-80.77322559999998
66,5074,Case Community Learning Center,K-5,"1420 Garman Rd, Akron, Ohio, 44313",(330) 873-3350,41.1164386,-81.5648523
67,10249,Ella Canavan Elementary School,K-5,"825 Lawrence St, Medina, Ohio, 44256",(330) 636-4000,41.126736,-81.87071800000002
68,11635,Findley Community Learning Center,K-5,"65 W Tallmadge Ave, Akron, Ohio, 44310",(330) 761-7909,41.1027272,-81.51726190000002
69,1222,Auburn Elementary School,K-4,"109 Auburn Ave, Shelby, Ohio, 44875",(419) 342-5456,40.8838529,-82.67344840000001
70,3293,Bowling Green Middle School,6-8,"1079 Fairview Ave, Bowling Green, Ohio, 43402",(419) 354-0200,41.3885291,-83.65772740000001
71,4184,Bucyrus Secondary School,6-12,"900 W Perry St, Bucyrus, Ohio, 44820",(419) 562-7721,40.813664,-82.9899949
72,9134,East Palestine High School,9-12,"360 W Grant St, East Palestine, Ohio, 44413",(330) 426-9401,40.8399626,-80.5461021
73,10132,Edwards Middle School,6-8,"1497 Pearl Rd, Brunswick, Ohio, 44212",(330) 273-0488,41.2345437,-81.84067209999998
74,11023,South Central Elementary School,K-5,"3291 Greenwich Angling Rd, Greenwich, Ohio, 44837",(419) 752-5021,41.0490696,-82.5189741
75,1677,Westlake Elementary School,K-4,"27555 Center Ridge Rd, Westlake, Ohio, 44145",(440) 250-1200,41.4476223,-81.92680539999998
76,2568,Bethel Tate High School,9-12,"3420 State Route 125, Bethel, Ohio, 45106",(513) 734-2271,38.9628625,-84.06448540000002
77,3954,William Bruce Elementary School,3-5,"506-B Aukerman St, Eaton, Ohio, 45320",(937) 456-3875,39.74939699999999,-84.62602199999998
78,5736,Zane Trace Elementary School,K-4,"946 State Route 180, Chillicothe, Ohio, 45601",(740) 775-1304,39.4277482,-82.93755139999998
79,6627,John Clem Elementary School,"K-5,P","475 Jefferson Rd, Newark, Ohio, 43055",(740) 670-7130,40.071441,-82.425421
80,8409,Denver Place Elementary School,3-4,"291 Lorish Ave, Wilmington, Ohio, 45177",(937) 382-2380,39.4548906,-83.8231876
81,8698,Frederick Douglass School,"K-6,P","2627 Park Ave, Cincinnati, Ohio, 45206",(513) 363-1900,39.1282823,-84.4864267
82,9589,Eastern High School,9-12,"1170 Tile Mill Rd, Beaver, Ohio, 45613",(740) 226-2231,39.0301061,-82.84227800000002
83,11478,Federal Hocking High School,9-12,"8461 State Route 144, Stewart, Ohio, 45778",(740) 662-6691,39.3119524,-81.87950699999998
84,11973,Winton Woods Intermediate School,5-6,"825 Waycross Rd, Cincinnati, Ohio, 45240",(513) 619-2450,39.2824448,-84.5047089
85,12369,Franklin Elementary School,K-5,"446 11th St, Elyria, Ohio, 44035",(440) 284-8007,41.3558311,-82.11329789999998
86,2451,Berlin Elementary School,K-6,"4978 W Main St, Berlin, Ohio, 44610",(330) 893-2817,40.56118060000001,-81.8013412
87,4846,Cardinal Middle School,5-8,"16175 Almeda Dr., Middlefield, Ohio, 44062",(440) 632-0261,41.468427,-81.06439
88,5124,Cedar Elementary School,3-5,"2823 9th St SW, Canton, Ohio, 44710",(330) 580-3502,40.794529,-81.40669150000002
89,6015,Chase School,"K-6,P","4151 Turrill St, Cincinnati, Ohio, 45223",(513) 363-1300,39.1620656,-84.5429411
90,6510,Claymont Middle School,6-8,"215 E 6th St, Uhrichsville, Ohio, 44683",(740) 922-5241,40.3944809,-81.34518390000002
91,7195,Northwestern Middle School,6-8,"7569 N Elyria Rd, West Salem, Ohio, 44287",(419) 846-3974,40.8920016,-82.1073689
92,7401,Cory-Rawson High School,7-12,"3930 County Road 26, Rawson, Ohio, 45881",(419) 963-2611,40.937742,-83.80549599999998
93,7690,Crestview Elementary School,K-5,"531 E Tully St, Convoy, Ohio, 45832",(419) 749-9100,40.9167516,-84.70161259999998
94,8086,Danville High School,9-12,"10 Rambo St, Danville, Ohio, 43014",(740) 599-6116,40.4473063,-82.2616398
95,8581,Dominion Middle School,6-8,"330 E Dominion Blvd, Columbus, Ohio, 43214",(614) 365-6020,40.0540678,-83.01020369999998
96,4234,Buhrer,"P,K-8","1600 Buhrer Ave, Cleveland, Ohio, 44109",(216) 838-8350,41.46822179999999,-81.6946085
97,6965,Col Crawford High School,9-12,"5444 Crestline Rd, Crestline, Ohio, 44827",(419) 562-4666,40.786122,-82.853832
98,7856,Byrnedale Elementary School,K-8,"3635 Glendale Ave, Toledo, Ohio, 43614",(419) 671-2200,41.610385,-83.629547
99,836,Antwerp Local Elementary School,K-5,"303 S. Harrmann Rd, Antwerp, Ohio, 45813",(419) 258-5421,41.1782454,-84.729434
100,3509,Ridge Elementary School,"K-5,P","7860 Johnnycake Ridge Rd, Mentor, Ohio, 44060",(440) 255-7813,41.6546165,-81.3582455
101,5462,Fairfield Central Elementary School,K-5,"5054 Dixie Hwy, Fairfield, Ohio, 45014",(513) 829-7979,39.3413293,-84.5335803
102,6353,Clara E Westropp School,"P,K-8","19101 Puritas Ave, Cleveland, Ohio, 44135",(216) 838-6250,41.43346210000001,-81.83131499999998
103,8748,Chippewa Intermediate School,3-6,"100 Valley View Rd, Doylestown, Ohio, 44230",(330) 658-2214,40.9613859,-81.69232559999998
104,11528,Jacob Coy Middle School,6-8,"1786 Dayton Xenia Rd, Xenia, Ohio, 45385",(937) 429-7577,39.7136721,-84.0013572
105,12419,Frazeysburg Elementary School,K-6,"120 E 3rd St, Frazeysburg, Ohio, 43822",(740) 828-2781,40.11967509999999,-82.1135171
106,224,Adlai Stevenson School,K-8,"18300 Woda, Cleveland, Ohio, 44122",(216) 838-5300,41.45486500000001,-81.5509811
107,2501,Berne Union High School,7-12,"506 N Main St, Sugar Grove, Ohio, 43155",(740) 746-9956,39.629482,-82.54597799999998
108,4077,Buchtel High School,7-12,"1040 Copley Rd, Akron, Ohio, 44320",(330) 873-3300,41.086213,-81.55994100000002
109,7245,Conotton Valley High School,6-12,"7205 Cumberland Rd SW, Bowerston, Ohio, 44695",(740) 269-2711,40.46303,-81.21882099999998
110,8136,David Anderson Jr/Sr High School,6-12,"260 W Pine St, Lisbon, Ohio, 44432",(330) 424-3215,40.7754336,-80.77253409999999
111,9027,East End Elementary School,"P,5","769 Rombach Ave, Wilmington, Ohio, 45177",(937) 382-2443,39.4471354,-83.81532390000002
112,9522,Milkovich Middle School,6-8,"19800 Stafford Ave, Maple Heights, Ohio, 44137",(216) 438-6000,41.414399,-81.54022499999998
113,10025,Edison Elementary School,K-3,"1202 Masters Ave, Ashland, Ohio, 44805",(419) 289-7965,40.879242700000006,-82.32950459999998
114,12096,Adena Elementary School,"K-4,P","3367 County Road 550, Frankfort, Ohio, 45628",(740) 998-5293,39.4156613,-83.19461559999998
115,12591,Fort Frye High School,7-12,"420 Fifth St, Beverly, Ohio, 45715",(740) 984-2376,39.5475769,-81.63167829999998
116,2956,Bloomfield High School,6-12,"2077 Park West Rd, North Bloomfield, Ohio, 44450",(440) 685-4711,41.46428,-80.87187
117,7906,Brookfield Elementary School,K-4,"614 Bedford Rd SE, Brookfield, Ohio, 44403",(330) 619-5240,41.2257896,-80.56142229999998
118,10975,Fairfax Elementary School,K-5,"6465 Curtiss Ct, Mentor, Ohio, 44060",(440) 255-7223,41.694015,-81.3486719
119,67,Ada High School,7-12,"435 Grand Ave, Ada, Ohio, 45810",(419) 634-2746,40.7747376,-83.82948259999998
120,562,Amanda-Clearcreek High School,9-12,"328 E Main St, Amanda, Ohio, 43102",(740) 969-7251,39.6496392,-82.7348828
121,1453,Paint Valley Middle School,6-8,"7454 Us Highway 50 W, Bainbridge, Ohio, 45612",(740) 634-3454,39.2440211,-83.21576900000002
122,3848,Brookview Elementary School,"K-4,P","14105 Snow Rd, Brook Park, Ohio, 44142",(216) 676-4334,41.4044558,-81.7926478
123,4739,Streetsboro Elementary School,"K-3,P","8955 Kirby Ln, Streetsboro, Ohio, 44241",(330) 626-4907,41.2342713,-81.3221934
124,5017,Carrollton High School-Carrollton Middle School,6-12,"252 3rd St NE, Carrollton, Ohio, 44615",(330) 627-2134,40.5732645,-81.08253690000002
125,6692,Clinton Elementary School ,K-6,"10 Clinton Heights Ave, Columbus, Ohio, 43202",(614) 365-6532,40.0307579,-83.0150723
126,7088,Lakeside Junior High School,7-8,"6620 Sanborn Rd, Ashtabula, Ohio, 44004",(440) 993-2618,41.8429402,-80.82474040000002
127,8474,Devonshire Alternative Elementary School,"K-5,P","6286 Ambleside Dr, Columbus, Ohio, 43229",(614) 365-5335,40.09461500000001,-82.98299499999997
128,9365,Greenville Elementary School,K-4,"1111 N Ohio St, Greenville, Ohio, 45331",(937) 548-3185,40.115764,-84.61471519999998
129,2840,Blanchester High School,9-12,"953 Cherry St, Blanchester, Ohio, 45107",(937) 783-2461,39.2989859,-83.96961379999998
130,4127,Buckeye High School,"9-12,SN","3084 Columbia Rd, Medina, Ohio, 44256",(330) 722-8257,41.189708,-81.92619499999998
131,4622,Cambridge High School,9-12,"1401 Deerpath Dr, Cambridge, Ohio, 43725",(740) 435-1100,40.0523679,-81.58319519999998
132,6080,Cherry Valley Elementary School,"K-5,P","1040 W Main St, Newark, Ohio, 43055",(740) 670-7330,40.05011349999999,-82.4403219
133,5967,Charles W Springmyer Elementary School,K-5,"4179 Ebenezer Rd, Cincinnati, Ohio, 45248",(513) 574-1205,39.168692,-84.65367499999998
134,6858,Coldwater High School,9-12,"310 N 2nd St, Coldwater, Ohio, 45828",(419) 678-4821,40.4820542,-84.6300194
135,729,Andrew J Rickoff ,"P,K-8","3500 E 147th St, Cleveland, Ohio, 44120",(216) 838-4150,41.4629998,-81.5793387
136,5850,Chaney High,9-12,"731 S Hazelwood Ave, Youngstown, Ohio, 44509",(330) 744-8822,41.0923299,-80.69571069999998
137,11916,Riverdale Elementary School,K-2,"20613 State Route 37, Mt Blanchard, Ohio, 45867",(419) 694-2211,40.86896,-83.517611
138,117,Adamsville Elementary School,K-6,"7950 East St, Adamsville, Ohio, 43802",(740) 796-2153,40.06601999999999,-81.881849
139,612,West Clermont Middle School,6-8,"1351 Clough Pike, Batavia, Ohio, 45103",(513) 947-7500,39.0610523,-84.22981
140,1297,Aurora High School,9-12,"109 W Pioneer Trl, Aurora, Ohio, 44202",(330) 562-3501,41.3101271,-81.35084429999998
141,1792,Bay High School,9-12,"29230 Wolf Rd, Bay Village, Ohio, 44140",(440) 617-7400,41.48693,-81.94339599999998
142,2683,River Valley Middle School ,6-8,"8779 State Route 160, Bidwell, Ohio, 45614",(740) 446-8399,38.91801029999999,-82.28246709999998
143,6742,Clough Pike Elementary School,K-5,"609 Brantner Ln, Cincinnati, Ohio, 45244",(513) 943-6700,39.0912624,-84.29369090000002
144,7633,Crestview Elementary School,K-5,"300 W 130th St, Brunswick, Ohio, 44212",(330) 273-0482,41.26819,-81.787026
145,8029,Dan Emmett Elementary School,K-5,"108 Mansfield Ave, Mount Vernon, Ohio, 43050",(740) 393-5950,40.4078583,-82.48635909999999
146,9910,Edgewood Middle School,5-7,"2695 Graustark Path, Wooster, Ohio, 44691",(330) 345-6475,40.83216779999999,-81.9332319
147,10413,Elmwood Elementary School,K-5,"5275 Turney Rd, Garfield Heights, Ohio, 44125",(216) 475-8110,41.41795,-81.6055916
148,11304,Fairview High School,9-12,"4507 W 213 Street, Fairview Park, Ohio, 44126",(440) 356-3500,41.4423345,-81.85568959999998
149,11593,Hubbard Mastery School ,"K-6,P","104 W Hubbard Ave, Columbus, Ohio, 43215",(614) 365-5564,39.9787782,-83.00722359999997
150,1180,Seneca East Elementary,K-5,"13343 E US Highway 224, Attica, Ohio, 44807",(419) 426-3344,41.07886370000001,-82.91542439999998
151,7021,Columbia High School,9-12,"14168 W River Rd, Columbia Station, Ohio, 44028",(440) 236-5001,41.311195,-81.923732
152,10090,Edon High School,7-12,"802 W Indiana St, Edon, Ohio, 43518",(419) 272-3113,41.558151,-84.781086
153,1958,Beaver Local High School,9-12,"46088 Bell School Rd, East Liverpool, Ohio, 43920",(330) 386-8700,40.7106482,-80.6303345
154,6908,Colerain Middle School,6-8,"4700 Poole Rd, Cincinnati, Ohio, 45251",(513) 385-8490,39.2388974,-84.6138387
155,8979,Midview West Elementary School,"P,K,3-4","13080 Durkee Rd, Grafton, Ohio, 44044",(440) 748-2305,41.2987569,-82.05623979999999
156,10868,Evening Street Elementary School,K-6,"885 Evening St, Worthington, Ohio, 43085",(614) 450-4400,40.0915831,-83.02271100000002
157,455,West Elementary,"K-5,P","57710 US Highway 50, Mc Arthur, Ohio, 45651",(740) 596-5236,39.2722774,-82.60934379999998
158,950,Newton Falls Elementary School,K-3,"905 Milton Blvd, Newton Falls, Ohio, 44444",(330) 872-5225,41.1775205,-80.95695140000002
159,5199,Celina Middle School,7-8,"615 Holly St, Celina, Ohio, 45822",(419) 586-8300,40.5561408,-84.5615102
160,5405,Central Academy Nongraded Elementary School,K-6,"4601 Sophie Ave, Middletown, Ohio, 45042",(513) 420-4537,39.5160562,-84.3477272
161,5900,Charles Dickens School,K-8,"13013 Corlett Ave, Cleveland, Ohio, 44105",(216) 838-4200,41.4563438,-81.5917462
162,6585,Amanda-Clearcreek Primary School,K-2,"414 N School St, Amanda, Ohio, 43102",(740) 969-7254,39.6516548,-82.7385053
163,9258,East Elementary School,K-5,"714 E Vine St, Mount Vernon, Ohio, 43050",(740) 393-5985,40.39162520000001,-82.4724411
164,10751,Eastern Heights Middle School,6-8,"528 Garford Ave, Elyria, Ohio, 44035",(440) 284-8015,41.36326920000001,-82.09016059999998
165,1347,Avery Elementary School,K-5,"4388 Avery Rd, Hilliard, Ohio, 43026",(614) 921-5100,40.04183370000001,-83.15510090000002
166,1842,Beachwood High School,9-12,"25100 Fairmount Blvd, Beachwood, Ohio, 44122",(216) 831-2080,41.4832969,-81.5011991
167,2733,Binns Elementary School,K-5,"1080 Binns Blvd, Columbus, Ohio, 43204",(614) 365-5911,39.932458200000006,-83.0796735
168,3129,Tuscarawas Valley Intermediate,"2-4,SN","216 Park Ave SW, Bolivar, Ohio, 44612",(330) 874-3234,40.6546036,-81.45021750000002
169,3624,Malabar Intermediate School,3-6,"205 W Cook Rd, Mansfield, Ohio, 44907",(419) 525-6370,40.7304088,-82.51971440000001
170,4515,Southwestern Elementary School,"K-5,P","4834 State Route 325, Patriot, Ohio, 45658",(740) 379-2532,38.8242807,-82.4017564
171,5082,Cassingham Elementary School,K-5,"250 S Cassingham Rd, Bexley, Ohio, 43209",(614) 237-4266,39.9647438,-82.9301311
172,8250,Deer Park  Jr/Sr High School,7-12,"8351 Plainfield Rd, Cincinnati, Ohio, 45236",(513) 891-0010,39.210576,-84.39942740000002
173,11643,Finland Elementary School,K-4,"1835 Finland Ave, Columbus, Ohio, 43223",(614) 801-8125,39.9197497,-83.04092220000003
174,12039,Fostoria Junior/Senior High School,7-12,"1001 Park Ave, Fostoria, Ohio, 44830",(419) 436-4110,41.169419,-83.4324676
175,1230,Timmons Elementary School,"K-3,P","9595 E Washington St, Chagrin Falls, Ohio, 44023",(440) 543-9380,41.39443199999999,-81.301112
176,4192,Budd Elementary School,4-6,"210 E Main St, Loudonville, Ohio, 44842",(419) 994-3327,40.6351216,-82.2314614
177,11031,Fairfield Local Elementary School,K-4,"11611 State Route 771, Leesburg, Ohio, 45135",(937) 780-2988,39.3288078,-83.5466597
178,505,Alton Hall Elementary School,K-4,"982 Alton Rd, Galloway, Ohio, 43119",(614) 801-8000,39.92927460000001,-83.17687480000002
179,1685,Bataan Memorial Primary School,K-2,"575 W 6th St, Port Clinton, Ohio, 43452",(419) 734-2815,41.506259,-82.9508075
180,2576,Bethel High School,9-12,"7490 State Route 201, Tipp City, Ohio, 45371",(937) 845-9487,39.9190184,-84.0862684
181,3467,Brecksville-Broadview Heights High School,9-12,"6380 Mill Rd, Broadview Heights, Ohio, 44147",(440) 740-4700,41.32724320000001,-81.64443370000002
182,4358,Burroughs Elementary School,K-8,"2420 South Ave, Toledo, Ohio, 43609",(419) 671-2350,41.6314088,-83.6019967
183,4853,Cardinal High School,9-12,"14785 Thompson Ave, Middlefield, Ohio, 44062",(440) 632-0261,41.4658302,-81.0677218
184,6635,Clermont Northeastern High School,9-12,"5327 Hutchinson Rd, Batavia, Ohio, 45103",(513) 625-1211,39.1305534,-84.1063538
185,7526,Covington Elementary School,"K-6,P","807 Chestnut St, Covington, Ohio, 45318",(937) 473-2252,40.1191699,-84.34200600000001
186,8912,Duxberry Park Alternative Elementary School,"K-5,P","1779 E Maynard Ave, Columbus, Ohio, 43219",(614) 365-6023,40.0089486,-82.96120359999998
187,9308,St. Marys East Primary School,"K-2,P","650 Armstrong St, Saint Marys, Ohio, 45885",(419) 394-2616,40.551791,-84.381148
188,9803,Eaton High School,9-12,"600 Hillcrest Dr, Eaton, Ohio, 45320",(937) 456-1141,39.7331336,-84.64860440000002
189,10306,Elm Avenue Elementary School,K-4,"134 Elm Ave, Wyoming, Ohio, 45215",,39.22063199999999,-84.47035699999998
190,10595,Englewood Elementary School,2-6,"702 Albert St, Englewood, Ohio, 45322",(937) 832-5900,39.8717008,-84.3003762
191,10801,Euclid Park Elementary School,K-8,"17914 Euclid Ave, Cleveland, Ohio, 44112",(216) 838-0700,41.5534043,-81.55298239999998
192,12377,Franklin Monroe High School,6-12,"8591 Oakes Rd, Arcanum, Ohio, 45304",(937) 947-1207,39.981471000000006,-84.48178
193,1073,Asbury Elementary School,K-5,"5127 Harbor Blvd, Columbus, Ohio, 43232",(614) 833-2000,39.901705,-82.865156
194,5132,Gorsuch West Elementary School,K-5,"440 Trace Dr, Lancaster, Ohio, 43130",(740) 687-7332,39.7105193,-82.6270894
195,8300,Defiance High School,9-12,"1755 Palmer Dr, Defiance, Ohio, 43512",(419) 784-2777,41.2640775,-84.35962690000002
196,4242,Ontario Primary School,2,"2302 Wade Ave, Ashtabula, Ohio, 44004",(440) 992-1240,41.873992,-80.81612380000001
197,7864,Crouse Community Learning Center,K-6,"1000 Diagonal Rd, Akron, Ohio, 44320",(330) 761-1625,41.0768277,-81.5529152
198,349,Upper Scioto Valley Middle School,7-8,"510 South Courtright Street, Mc Guffey, Ohio, 45859",(419) 757-3231,40.691297,-83.7880098
199,844,Antwerp Local High School,9-12,"303 S. Harrmann Rd, Antwerp, Ohio, 45813",(419) 258-5421,41.1782454,-84.729434
200,1735,Bath Elementary School,4-5,"1246 N Cleveland Massillon Rd, Akron, Ohio, 44333",(330) 523-3802,41.169929,-81.63835999999998
201,4408,Butler Middle School,5-8,"2011 Trojan Ave, Arcanum, Ohio, 45304",(937) 692-5174,39.9953422,-84.54883620000003
