,IRN,ORGANIZATION NAME,SCHOOL TYPE,GRADE SPAN,ORGANIZATION TYPE,ORGANIZATION CATEGORY,STATUS,DESIGNATED COUNTY,WEB URL,ORG EMAIL ADDRESS,Address,ORG PHONE,ORG FAX,SUPERINTENDENT,SUPERINTENDENT EMAIL,SUPERINTENDENT PHONE,TREASURER,TREASURER EMAIL,TREASURER PHONE,PRINCIPAL,PRINCIPAL EMAIL,PRINCIPAL PHONE,PARENT IRN,PARENT ORGANIZATION NAME,Latitude,Longitude
21,"=""000497""",Alpine Elementary School,Elementary School,"=""K-3""",Public School,School,Open,Franklin,,,"1590 Alpine Dr, Columbus, Ohio, 43229",(614) 365-5359,,,,,,,,Rhonda Peeples,rpeeples6505@columbus.k12.oh.us,(614) 365-5931,"=""043802""",Columbus City School District,40.095578,-82.9737619
22,"=""000505""",Alton Hall Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Franklin,,,"982 Alton Rd, Galloway, Ohio, 43119",(614) 801-8000,(614) 801-8003,,,,,,,Stefanie Hatfield,stefanie.hatfield@swcsd.us,(614) 801-8000,"=""044800""",South-Western City,39.9292746,-83.1768748
23,"=""000513""",Columbus Scioto 6-12,High School,"=""6-12""",Public School,School,Open,Franklin,,,"2951 S High St, Columbus, Ohio, 43207",(614) 365-5030,,,,,,,,Michelle Milner,mmilner10209@columbus.k12.oh.us,(614) 801-1396,"=""043802""",Columbus City School District,39.901558,-82.997692
24,"=""000539""",Amanda-Clearcreek Elementary School,Elementary School,"=""3-5""",Public School,School,Open,Fairfield,http://www.amanda.k12.oh.us,,"328 E Main St, Amanda, Ohio, 43102",(740) 969-7253,(740) 969-7730,,,,,,,Theresa Pinkstock,tpinkstock@amanda.k12.oh.us,(740) 475-8272,"=""046847""",Amanda-Clearcreek Local,39.6496392,-82.7348828
25,"=""000547""",Amanda Elementary School,Elementary School,"K-5,P",Public School,School,Open,Butler,http://www.middletowncityschools.com,,"1300 Oxford State Rd, Middletown, Ohio, 45044",(513) 420-4542,(513) 420-4632,,,,,,,Beth Hendricks,bhendricks@middletowncityschools.com,(513) 868-5630,"=""044404""",Middletown City,39.4789856,-84.4079922
26,"=""000562""",Amanda-Clearcreek High School,High School,"=""9-12""",Public School,School,Open,Fairfield,,,"328 E Main St, Amanda, Ohio, 43102",(740) 969-7251,(740) 969-7669,,,,,,,Kimberly Miller,millerki_10@yahoo.com,(740) 694-2726,"=""046847""",Amanda-Clearcreek Local,39.6496392,-82.7348828
27,"=""000596""",Amelia Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Clermont,,,"5 E Main St, Amelia, Ohio, 45102",(513) 943-3800,(513) 943-3642,,,,,,,Shane Short,short_s@westcler.org,(832) 286-8403,"=""046359""",West Clermont Local,39.0302296,-84.2152517
28,"=""000612""",West Clermont Middle School,Middle School,"=""6-8""",Public School,School,Open,Clermont,,,"1351 Clough Pike, Batavia, Ohio, 45103",(513) 947-7500,(513) 753-7851,,,,,,,Ross Hudson,hudson_r@westcler.org,(   )    -    ,"=""046359""",West Clermont Local,39.0610523,-84.22981
29,"=""000620""",Amesville Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Athens,,,"St. Rte. 329, Amesville, Ohio, 45711",(740) 448-2501,,,,,,,,Catherine Blower,cblower@fhlancers.com,(740) 448-7219,"=""045914""",Federal Hocking Local,39.4004436,-81.955612
30,"=""000638""",Amherst Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Stark,,,"8750 Jane St NW, Massillon, Ohio, 44646",(330) 830-8024,(330) 830-8071,,,,,,,William Hayden,wph2jc@bearworks.jackson.sparcc.org,(330) 830-8024,"=""049858""",Jackson Local,40.8353669,-81.51463880000001
31,"=""000653""",Amity Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Hamilton,,,"4320 E Galbraith Rd, Cincinnati, Ohio, 45236",(513) 891-5995,(513) 891-3508,,,,,,,Mark Smiley,smiley.m@dpccsd.org,(513) 295-7732,"=""043851""",Deer Park Community City,39.2084597,-84.3934161
32,"=""000687""",Anderson High School,High School,"=""9-12""",Public School,School,Open,Hamilton,,,"7560 Forest Rd, Cincinnati, Ohio, 45255",(513) 232-2772,(513) 232-3146,,,,,,,Robert Fellows,robfellows@foresthills.edu,(513) 232-2772,"=""047340""",Forest Hills Local,39.06943,-84.3474924
33,"=""000711""",Pymatuning Valley Primary Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Ashtabula,,,"5571 State Route 6, Andover, Ohio, 44003",(440) 293-6206,(440) 293-5152,,,,,,,Billie Williams,billie.williams@pvschools.org,(440) 344-0030,"=""045880""",Pymatuning Valley Local,41.60943959999999,-80.58543159999999
34,"=""000729""",Andrew J Rickoff ,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,,,"3500 E 147th St, Cleveland, Ohio, 44120",(216) 838-4150,,,,,,,,SHELBY SCHUTT,shelbyschutt1982@gmail.com,(330) 344-0821,"=""043786""",Cleveland Municipal,41.4629998,-81.5793387
35,"=""000737""",Massillon Junior High School,Junior High School,"=""7-8""",Public School,School,Open,Stark,,vlindsey@massillonschools.org,"250 29th St NW, Massillon, Ohio, 44647",(330) 830-3902,(330) 830-3952,,,,,,,Vincent Lindsey,vlindsey@massillonschools.org,(330) 412-4009,"=""044354""",Massillon City,40.7876237,-81.5627616
36,"=""000745""",Anna Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Shelby,,,"607 N Pike St, Anna, Ohio, 45302",(937) 394-2011,(937) 394-3119,,,,,,,John Holtzapple,jholtzapple@annaschools.org,(937) 538-1581,"=""049759""",Anna Local,40.401433,-84.1754437
37,"=""000752""",Anna High School,High School,"=""9-12""",Public School,School,Open,Shelby,,www.anna.k12.oh.us,"1 McRill Way, Anna, Ohio, 45302",(937) 394-2011,(937) 394-7658,,,,,,,Richard Russell,rrussell@anna.k12.oh.us,(937) 394-2011,"=""049759""",Anna Local,40.40144009999999,-84.1753203
38,"=""000760""",Ansonia Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Darke,,,"600 E Canal St, Ansonia, Ohio, 45303",(937) 337-5141,(937) 337-9520,,,,,,,Krista Stump,krista.stump@ansoniaschools.org,(937) 337-5141,"=""046623""",Ansonia Local,40.2156648,-84.6288493
39,"=""000778""",Ansonia High School,High School,"=""9-12""",Public School,School,Open,Darke,,,"600 E Canal St, Ansonia, Ohio, 45303",(937) 337-5591,(937) 337-9520,,,,,,,Stephen Garman,anhssgarman@mdeca.org,(937) 337-5591,"=""046623""",Ansonia Local,40.2156648,-84.6288493
40,"=""000802""",Anthony Wayne Elementary School,Elementary School,"=""1-6""",Public School,School,Open,Warren,,,"16 Farm Ave, Franklin, Ohio, 45005",(937) 743-8640,(937) 743-8642,,,,,,,James Rhoades,jrhoades@franklincityschools.com,(937) 427-0020,"=""044008""",Franklin City,39.5533841,-84.31195319999999
41,"=""000810""",Anthony Wayne High School,High School,"=""9-12""",Public School,School,Open,Lucas,,,"5967 Finzel Rd, Whitehouse, Ohio, 43571",(419) 877-0466,(419) 877-5028,,,,,,,Kevin Pfefferle,kpfefferle@anthonywayneschools.org,(419) 877-0466,"=""048207""",Anthony Wayne Local,41.533359,-83.7791617
42,"=""000828""",Anton Grdina ,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,,,"2955 E 71st St, Cleveland, Ohio, 44104",(216) 838-1150,,,,,,,,Latosha Glass,latosha.glass@clevelandmetroschools.org,(216) 526-6771,"=""043786""",Cleveland Municipal,41.4782583,-81.63895509999999
43,"=""000836""",Antwerp Local Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Paulding,,,"303 S. Harrmann Rd, Antwerp, Ohio, 45813",(419) 258-5421,(419) 258-4041,,,,,,,Tracey Stokes,Tstokespc@hotmail.com,(419) 658-2808,"=""048991""",Antwerp Local,41.1782454,-84.729434
44,"=""000844""",Antwerp Local High School,High School,"=""9-12""",Public School,School,Open,Paulding,,,"303 S. Harrmann Rd, Antwerp, Ohio, 45813",(419) 258-5421,(419) 258-4041,,,,,,,Travis Lichty,lichty_t@antwerpschools.org,(419) 258-5421,"=""048991""",Antwerp Local,41.1782454,-84.729434
45,"=""000851""",Apple Creek Elementary School,Elementary School,"K-6,P",Public School,School,Open,Wayne,,,"173 W Main St, Apple Creek, Ohio, 44606",(330) 698-3111,(330) 698-2922,,,,,,,Matthias Karolewski,soea_mkarolewski@tccsa.net,(330) 209-7044,"=""050583""",Southeast Local,40.7509726,-81.8385808
46,"=""000877""",Applewood Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Medina,,,"3891 Applewood Dr, Brunswick, Ohio, 44212",(330) 273-0481,,,,,,,,Amren Fowler,afowler@bcsoh.org,(440) 243-4054,"=""043661""",Brunswick City,41.2246688,-81.8267911
47,"=""000885""",Arcadia Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Hancock,,,"19033 State Route 12, Arcadia, Ohio, 44804",(419) 894-6431,(419) 894-6970,,,,,,,David Golden,Goldend@arcadia.noacsc.org,(419) 894-6431,"=""047415""",Arcadia Local,41.1064685,-83.5150996
48,"=""000893""",Arcadia High School,High School,"=""9-12""",Public School,School,Open,Hancock,,,"19033 State Route 12, Arcadia, Ohio, 44804",(419) 894-6431,(419) 894-6970,,,,,,,Billy Dobbins,dobbinsb@arcadia.noacsc.org,,"=""047415""",Arcadia Local,41.1064685,-83.5150996
49,"=""000901""",Arcanum Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Darke,,jason_clark@darke.k12.oh.us,"2011 Trojan Ave, Arcanum, Ohio, 45304",(937) 692-5174,(937) 692-8865,,,,,,,Joni Pechie,joni_pechie@arcanum-butler.k12.oh.us,(937) 459-2503,"=""046631""",Arcanum-Butler Local ,39.9953422,-84.5488362
50,"=""000919""",Arcanum High School,High School,"=""9-12""",Public School,School,Open,Darke,,jim_gray@darke.k12.oh.us,"2011 Trojan Ave, Arcanum, Ohio, 45304",(937) 692-5174,(937) 692-8865,,,,,,,Jason Stephan,JStephan22@gmail.com,(937) 572-1976,"=""046631""",Arcanum-Butler Local ,39.9953422,-84.5488362
51,"=""000927""",Archbold Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Fulton,,arc_el_dl@nwoca.org,"500 Lafayette St, Archbold, Ohio, 43502",(419) 446-2727,(419) 446-4627,,,,,,,DOROTHY LAMBERT,dlambert@archboldschools.org,(419) 446-2727,"=""047043""",Archbold-Area Local,41.5162366,-84.3100845
52,"=""000935""",Archbold High School,High School,"=""9-12""",Public School,School,Open,Fulton,,,"600 Lafayette St, Archbold, Ohio, 43502",(419) 445-5579,(419) 445-8536,,,,,,,Timothy Meister,tmeister@fcanywhere.net,(419) 267-2210,"=""047043""",Archbold-Area Local,41.516075,-84.313563
53,"=""000943""",First Step Preschool and Daycare,Ungraded,"=""P""",Public School,School,Open,Cuyahoga,,massiminod@parmacityschools.org,"7700 Malibu Dr, Parma, Ohio, 44130",(440) 885-8645,,,,,,,,Dana Johnson,johnsonda@parmacityschools.org,(440) 885-8645,"=""044636""",Parma City,41.357433,-81.77039599999999
54,"=""000943""",First Step Preschool and Daycare,Prekindergarten Associate Certification Institution,"=""P""",Public School,School,Open,Cuyahoga,,massiminod@parmacityschools.org,"7700 Malibu Dr, Parma, Ohio, 44130",(440) 885-8645,,,,,,,,Dana Johnson,johnsonda@parmacityschools.org,(440) 885-8645,"=""044636""",Parma City,41.357433,-81.77039599999999
55,"=""000950""",Newton Falls Elementary School,Elementary School,"=""K-3""",Public School,School,Open,Trumbull,,howardd@nfschools.org,"905 Milton Blvd, Newton Falls, Ohio, 44444",(330) 872-5225,(330) 872-0228,,,,,,,Thomas Sullivan,sullivant@nfschools.org,(330) 872-0695,"=""045567""",Newton Falls Exempted Village,41.1775205,-80.9569514
56,"=""000968""",Arlington Elementary School,Elementary School,"=""K-8""",Public School,School,Open,Lucas,,mviers@tps.org,"707 Woodsdale Ave, Toledo, Ohio, 43609",(419) 671-2550,,,,,,,,Melisa Viers,mviers@tps.org,(419) 671-2550,"=""044909""",Toledo City,41.6263357,-83.5861911
57,"=""000976""",Arlington Local Elementary School,Elementary School,"=""K-6""",Public School,School,Open,Hancock,,,"336 S Main St, Arlington, Ohio, 45814",(419) 365-5121,(419) 365-1282,,,,,,,David Sprouse,,(419) 957-5843,"=""047423""",Arlington Local,40.889062,-83.6522985
58,"=""000992""",Arlington Local High School,High School,"=""7-12""",Public School,School,Open,Hancock,,,"336 S Main St, Arlington, Ohio, 45814",(419) 365-5121,(419) 365-1282,,,,,,,Nathan Sorg,sorgn@arlingtonlocal.org,(419) 365-5122,"=""047423""",Arlington Local,40.889062,-83.6522985
59,"=""001024""",Arrowhead Primary Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Summit,,Roman.Capper@copley-Fairlawn.org,"1600 Raleigh Blvd, Copley, Ohio, 44321",(330) 664-4885,(330) 664-4927,,,,,,,Roman Capper,roman.capper@copley-fairlawn.org,(330) 388-7183,"=""049981""",Copley-Fairlawn City,41.091079,-81.63909
60,"=""001040""",Artemus Ward,Elementary School,"P,K-8",Public School,School,Open,Cuyahoga,,,"4315 W 140th St, Cleveland, Ohio, 44135",(216) 838-6200,,,,,,,,Chris Myslenski,christopher.myslenski@clevelandmetroschools.org,(216) 650-4483,"=""043786""",Cleveland Municipal,41.436373,-81.7901858
61,"=""001057""",Arthur Road Elementary School,Elementary School,"P,12,UNG,SN",Public School,School,Open,Cuyahoga,,,"33425 Arthur Rd, Solon, Ohio, 44139",(440) 349-6210,(440) 349-8018,,,,,,,Theresa Brownlow,terrybrownlow@solonboe.org,(440) 349-6214,"=""046607""",Solon City,41.3716704,-81.441436
62,"=""001073""",Asbury Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Franklin,,,"5127 Harbor Blvd, Columbus, Ohio, 43232",(614) 833-2000,(614) 833-2004,,,,,,,Staci Peters,staci.peters@gocruisers.org,(614) 940-7922,"=""046979""",Groveport Madison Local,39.901705,-82.865156
63,"=""001081""",Ashland High School,High School,"=""9-12""",Public School,School,Open,Ashland,,miriley@ashlandcityschools.org,"1440 King Rd, Ashland, Ohio, 44805",(419) 289-7968,(419) 289-8218,,,,,,,Thomas Marquette,tmarquette@zoominternet.net,(419) 908-5609,"=""043505""",Ashland City,40.8545356,-82.3253498
64,"=""001099""",Ashland Middle School,Middle School,"=""6-8""",Public School,School,Open,Ashland,,mawhite@ashlandcityschools.org,"1520 King Rd, Ashland, Ohio, 44805",(419) 289-7966,(419) 289-2303,,,,,,,Matthew White,mawhite@ashlandcityschools.org,,"=""043505""",Ashland City,40.8522252,-82.32523760000001
65,"=""001107""",Buckeye Valley East Elementary School,Elementary School,"K-4,P",Public School,School,Open,Delaware,,kkaracson@mybvs.org,"522 E High St, Ashley, Ohio, 43003",(740) 363-2253,(740) 747-3510,,,,,,,Kathryn Karacson,katiekaracson@gmail.com,(740) 747-2266,"=""046755""",Buckeye Valley Local,40.40946479999999,-82.94717759999999
66,"=""001123""",Lakeside High School,High School,"=""9-12""",Public School,School,Open,Ashtabula,,robert.klinar@aacs.net,"6600 Sanborn Rd, Ashtabula, Ohio, 44004",(440) 993-2522,(440) 993-2480,,,,,,,Robert Klinar,bob.klinar@youngstown.k12.oh.us,(440) 417-4385,"=""043513""",Ashtabula Area City,41.84373,-80.819577
67,"=""001131""",Ashville Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Pickaway,,gweiler@tvsd.us,"90 Walnut St, Ashville, Ohio, 43103",(740) 983-5000,,,,,,,,Gretchen Weiler,gweiler@tvsd.us,(740) 983-5065,"=""049098""",Teays Valley Local,39.7154993,-82.9477448
68,"=""001149""",Athens High School,High School,"=""9-12""",Public School,School,Open,Athens,,dhanning@athenscsd.org,"1 High School Rd, The Plains, Ohio, 45780",(740) 797-4521,(740) 797-1421,,,,,,,David Hanning,dhanning@fhlancers.com,(740) 662-6691,"=""043521""",Athens City,39.3724446,-82.1280038
69,"=""001172""",Atkinson Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Sandusky,,wardc@fremontschools.net,"1100 Delaware Ave, Fremont, Ohio, 43420",(419) 332-5361,(419) 334-6749,,,,,,,Christopher Ward,wardc@fremontschools.net,(419) 332-5361,"=""044016""",Fremont City,41.3367052,-83.1001732
70,"=""001180""",Seneca East Elementary,Elementary School,"=""K-5""",Public School,School,Open,Seneca,,,"13343 E US Highway 224, Attica, Ohio, 44807",(419) 426-3344,(419) 426-5400,,,,,,,Bradley Powers,,(419) 569-8050,"=""049684""",Seneca East Local,41.0788637,-82.91542439999999
71,"=""001198""",Seneca East High School,High School,"=""9-12""",Public School,School,Open,Seneca,,,"13343 E US Highway 224, Attica, Ohio, 44807",(419) 426-3312,(419) 426-5400,,,,,,,Don Vogt,dvogt@se-tigers.com,(740) 260-3393,"=""049684""",Seneca East Local,41.0788637,-82.91542439999999
72,"=""001206""",Waterloo Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Portage,,,"1464 Industry Rd, Atwater, Ohio, 44201",(330) 947-2153,(330) 947-3331,,,,,,,Aaron Walker,awalker@viking.portage.k12.oh.us,(330) 428-2090,"=""049247""",Waterloo Local,41.028547,-81.193022
73,"=""001222""",Auburn Elementary School,Elementary School,"=""K-4""",Public School,School,Open,Richland,,,"109 Auburn Ave, Shelby, Ohio, 44875",(419) 342-5456,(419) 342-3023,,,,,,,Kelly Kuhn,kuhn.kelly@shelbyk12.org,(419) 342-6291,"=""044776""",Shelby City,40.8838529,-82.6734484
74,"=""001230""",Timmons Elementary School,Elementary School,"K-3,P",Public School,School,Open,Geauga,,,"9595 E Washington St, Chagrin Falls, Ohio, 44023",(440) 543-9380,(440) 543-9163,,,,,,,David Rogaliner,dave.rogaliner@kenstonapps.org,(440) 223-3114,"=""047191""",Kenston Local,41.39443199999999,-81.301112
75,"=""001255""",Oakwood Elementary School,Elementary School,"K-6,P",Public School,School,Open,Paulding,,,"309 N 1st St, Oakwood, Ohio, 45873",(419) 594-3346,(419) 594-3929,,,,,,,Jennifer Manz,j_manz@pauldingschools.org,(419) 594-3346,"=""045575""",Paulding Exempted Village,41.09654,-84.380263
76,"=""001297""",Aurora High School,High School,"=""9-12""",Public School,School,Open,Portage,,,"109 W Pioneer Trl, Aurora, Ohio, 44202",(330) 562-3501,(330) 954-2810,,,,,,,Paul Milcetich,pmilcetich@aurora-schools.org,(330) 954-2115,"=""049171""",Aurora City,41.3101271,-81.35084429999999
77,"=""001313""",Craddock Elementary School,Elementary School,"=""1-2""",Public School,School,Open,Portage,,jtroman@aurora-schools.org,"105 Hurd Rd, Aurora, Ohio, 44202",(330) 562-3175,(330) 954-2087,,,,,,,Kim Menta,kim.menta@westg.org,(216) 849-2552,"=""049171""",Aurora City,41.3161928,-81.34154769999999
78,"=""001321""",Austinburg Elementary School,Elementary School,"K-5,P",Public School,School,Open,Ashtabula,,,"3030 State Route 307, Austinburg, Ohio, 44010",(440) 466-4831,,,,,,,,Amy Burzanko,amy.burzanko@genevaschools.org,(440) 466-4831,"=""044057""",Geneva Area City,41.770351,-80.86094
79,"=""001339""",Austintown Middle School,Middle School,"=""6-8""",Public School,School,Open,Mahoning,,,"800 S Raccoon Rd, Youngstown, Ohio, 44515",(330) 797-3900,(330) 797-3965,,,,,,,Benjamin Baldner,bbaldner@austintownschools.org,(814) 571-4229,"=""048298""",Austintown Local Schools,41.09188899999999,-80.73363100000002
80,"=""001347""",Avery Elementary School,Elementary School,"=""K-5""",Public School,School,Open,Franklin,,kevin_landon@hboe.org,"4388 Avery Rd, Hilliard, Ohio, 43026",(614) 921-5100,(614) 921-5101,,,,,,,Kevin Landon,kevin_landon@hboe.org,(614) 327-7770,"=""047019""",Hilliard City,40.0418337,-83.1551009
81,"=""001354""",Avon East Elementary School,Elementary School,"=""1-2""",Public School,School,Open,Lorain,,,"3100 Nagle Rd, Avon, Ohio, 44011",(440) 937-6015,,,,,,,,Erin Holzhauer,holzhauere@avoneagles.org,(440) 241-6062,"=""048116""",Avon Local,41.4459331,-81.9902103
82,"=""001362""",Avon Early Learning Center,Elementary School,"K,P",Public School,School,Open,Lorain,,,"3075 Stoney Ridge Rd, Avon, Ohio, 44011",(440) 934-5124,,,,,,,,Colleen Mudore,mudorec@avoneagles.org,(440) 552-4274,"=""048116""",Avon Local,41.4449531,-82.0272483
