Sponsor IRN,Sponsor,School IRN,School,Telephone,Address,Public District Location IRN,Public District Location,County,First Year of Operation,Grade Levels Served,ConvOrStartup,PhysOrVirtual,School Type 3,Percent Minority,Percent Economically Disadvantaged,Percent Students with Disabilities,Percent Limited English Proficient,Attendance Rate,Overall Grade 2018,Overall Value-Added Grade 2018,Gifted Value-Added Grade 2018,Students with Disabilities Value-Added Grade 2018,Lowest 20% Value-Added Grade 2018,Highly Mobile Value-Added Grade 2018,Graduation Component Grade 2018,Five Year Graduation Rate Grade 2018,Gap Closing Component Grade 2018,Success Component Grade 2018,K3 Literacy Grade 2018,Overall Value-Added Grade 2017,Gifted Value-Added Grade 2017,Students with Disabilities Value-Added Grade 2017,Lowest 20% Value-Added Grade 2017,Highly Mobile Value-Added Grade 2017,Graduation Component Grade 2017,Five Year Graduation Rate Grade 2017,Gap Closing Component Grade 2017,Success Component Grade 2017,K3 Literacy Grade 2017,Overall Value-Added Grade 2016,Gifted Value-Added Grade 2016,Students with Disabilities Value-Added Grade 2016,Lowest 20% Value-Added Grade 2016,Highly Mobile Value-Added Grade 2016,Graduation Component Grade 2016,Five Year Graduation Rate Grade 2016,Gap Closing Component Grade 2016,Success Component Grade 2016,K3 Literacy Grade 2016,Overall Value-Added Grade 2015,Gifted Value-Added Grade 2015,Students with Disabilities Value-Added Grade 2015,Lowest 20% Value-Added Grade 2015,Highly Mobile Value-Added Grade 2015,Five Year Graduation Rate Grade 2015,K3 Literacy Grade 2015,Overall Value-Added Grade 2014,Gifted Value-Added Grade 2014,Students with Disabilities Value-Added Grade 2014,Lowest 20% Value-Added Grade 2014,Five Year Graduation Rate Grade 2014,Overall Value-Added Grade 2013,Gifted Value-Added Grade 2013,Students with Disabilities Value-Added Grade 2013,Lowest 20% Value-Added Grade 2013,Five Year Graduation Rate Grade 2013,Latitude,Longitude,isClosed
012931,Office of School Sponsorship,000556,A+ Arts Academy,(614) 7251305; (614) 3380767; (614) 6262250,"1395 Fair Ave, Columbus, OH 43205",43802,Columbus City School District,Franklin,FY05,K-8,Startup,Site,General Education,0.991969731,0.998367287,0.163589365,--,0.907603555,F,F,NR,F,F,NR,NR,NR,F,NR,F,F,NR,F,F,NR,NR,NR,F,NR,D,D,NR,D,F,NR,NR,NR,F,NR,F,A,NR,B,A,NR,NR,F,A,NR,D,C,NR,A,NR,F,C,NR,39.9632928,-82.962526,No
016998,Ohio Council of Community Schools,000557,Columbus Arts & Technology Academy,(614) 5770900,"2255 Kimberly Pkwy E, Columbus, OH 43232",43802,Columbus City School District,Franklin,FY05,K-12,Startup,Site,General Education,0.963387581,0.999758373,0.085075684,0.059177204,0.905118991,D,D,NR,NR,C,F,NR,NR,F,NR,D,C,NR,NR,C,C,NR,NR,F,NR,NR,C,NR,NR,C,NR,NR,NR,F,NR,NR,A,NR,NR,B,A,NR,NR,A,NR,NR,A,NR,A,NR,A,A,NR,39.9275986,-82.8847551,No
016998,Ohio Council of Community Schools,000558,Columbus Preparatory Academy,(614) 2753600,"3330 Chippewa St, Columbus, OH 43204",44800,South-Western City,Franklin,FY05,K-12,Startup,Site,General Education,0.57847668,0.4198041,0.03405309,0.097821805,0.947483616,B,F,NR,NR,NR,NR,NR,NR,A,NR,NR,F,NR,NR,NR,NR,NR,NR,A,NR,NR,F,NR,NR,NR,NR,NR,NR,A,NR,NR,A,NR,NR,NR,NR,NR,A,A,NR,NR,NR,NR,A,NR,NR,NR,NR,39.9850413,-83.0936529,No
012931,Office of School Sponsorship,014913,Lakeshore Intergenerational School,(216) 5863872,"18025 Marcella Rd, Cleveland, OH 44119",43786,Cleveland Municipal,Cuyahoga,FY15,K-8,Startup,Site,General Education,0.937734268,1,0.111272886,--,0.949590161,F,F,NR,NR,NR,NR,NR,NR,F,NR,F,C,NR,NR,NR,NR,NR,NR,F,NR,A,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,--,--,--,--,--,--,--,--,--,--,41.5842156,-81.5539544,No
048199,ESC of Lake Erie West,000559,Orion Academy,(513) 2516000,"1798 Queen City Ave, Cincinnati, OH 45214",43752,Cincinnati City,Hamilton,FY05,K-8,Startup,Site,General Education,0.971801049,1,0.100632374,0.060617222,0.833256066,F,F,NR,F,F,F,NR,NR,F,NR,F,F,NR,D,F,NR,NR,NR,F,NR,C,F,NR,C,F,F,NR,NR,F,NR,F,F,NR,F,F,F,NR,F,C,NR,C,C,NR,A,NR,C,B,NR,39.1264533,-84.5580071,No
083246,St Aloysius Orphanage,133868,Towpath Trail High School,(234) 5420102,"275 W Market St, Akron, OH 44303",43489,Akron City,Summit,FY00,9-12,Startup,Site,Dropout Prevention and Recovery,0.643577862,0.920406934,0.250093937,0.105493159,0.444230704,Meets Standards,12.8,Meets Standards,13.4,Meets Standards,12.3,Meets Standards,Meets Standards,22.8,16.6,Meets Standards,Does Not Meet Standards,7.6,Does Not Meet Standards,10.2,Meets Standards,13.5,22.8,Meets Standards,Meets Standards,15.2,40.4,Does Not Meet Standards,4.1,Does Not Meet Standards,11.9,Meets Standards,Meets Standards,17.2,12.7,Meets Standards,1.1,Does Not Meet Standards,Does Not Meet Standards,Meets Standards,43.1,5.9,10.8,Does Not Meet Standards,10.3,Meets Standards,13.4,10.8,31.8,Meets Standards,8.1,Does Not Meet Standards,Does Not Meet Standards,41.0895024,-81.5264321,No
000862,Buckeye Community Hope Foundation,012025,Constellation Schools: Stockyard Community Middle,(216) 9615052,"3200 W 65th St, Cleveland, OH 44102",43786,Cleveland Municipal,Cuyahoga,FY11,7-8,Startup,Site,General Education,0.545627909,1,0.238962528,0.174978537,0.913223589,B,A,NR,B,C,NR,NR,NR,B,NR,NR,A,NR,C,C,NR,NR,NR,F,NR,NR,C,NR,C,D,NR,NR,NR,F,NR,NR,F,NR,F,F,NR,NR,NR,D,NR,C,C,NR,B,NR,C,C,NR,41.4674609,-81.7307281,No
048199,ESC of Lake Erie West,133256,Constellation Schools: Parma Community,(440) 8885490,"7667 Day Dr Fl 1ST, Parma, OH 44129",44636,Parma City,Cuyahoga,FY01,K-12,Startup,Site,General Education,0.255191726,0.411297073,0.12173783,0.041055602,0.93791503,C,A,NR,C,B,NR,B,C,B,F,D,D,NR,D,D,NR,C,A,F,F,B,A,NR,C,B,NR,B,A,F,D,C,F,NR,F,F,NR,B,D,B,NR,C,D,C,A,NR,C,C,D,41.3788836,-81.7375923,No
000862,Buckeye Community Hope Foundation,143552,Eagle Academy,,,44909,Toledo City,Lucas,FY02,"#N/A",Startup,Site,General Education,0.560788596,0.986866449,0.296799253,--,0.824694914,D,C,NR,C,C,A,F,F,C,F,NR,D,NR,D,C,NR,F,F,F,F,NR,D,NR,C,C,C,F,NR,F,F,NR,F,NR,D,F,NR,NR,NR,F,NR,NR,C,NR,C,NR,C,B,NR,0,0,Yes
000862,Buckeye Community Hope Foundation,012026,Constellation Schools: Collinwood Village Academy,,,43786,Cleveland Municipal,Cuyahoga,FY12,"#N/A",Startup,Site,General Education,0.970762548,1,0.189366132,--,0.922931981,C,F,NR,NR,NR,NR,NR,NR,A,NR,B,F,NR,NR,C,NR,NR,NR,F,NR,D,F,NR,NR,F,NR,NR,NR,F,NR,F,B,NR,NR,B,NR,NR,D,D,NR,NR,F,NR,A,NR,NR,NR,NR,0,0,Yes
000862,Buckeye Community Hope Foundation,134148,Aurora Academy,,,44909,Toledo City,Lucas,FY99,"#N/A",Startup,Site,General Education,0.687902626,1,0.14933342,--,0.832114621,D,F,NR,NR,F,B,NR,NR,C,NR,C,F,NR,C,F,F,NR,NR,F,NR,D,F,NR,NR,F,F,NR,NR,F,NR,F,B,NR,NR,C,C,NR,F,A,NR,NR,C,NR,A,NR,NR,B,NR,0,0,Yes
012931,Office of School Sponsorship,000282,Greater Ohio Virtual School,(513) 6952924,"1879 Deerfield Rd, Lebanon, OH 45036",44214,Lebanon City,Warren,,7-12,Conversion,Virtual,Dropout Prevention and Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4071689,-84.2112792,No
007991,Educational Resource Consultants of Ohio,013864,Cincinnati Technology Academy,(513) 4717323,"3800 Glenway Ave, Cincinnati, OH 45205",43752,Cincinnati City,Hamilton,FY14,K-12,Startup,Site,General Education,0.64647862,1,0.308457301,--,0.88967423,D,F,NR,C,F,D,NR,NR,F,F,B,C,NR,C,C,D,NR,NR,F,F,D,B,NR,NR,C,A,NR,NR,F,NR,D,NR,NR,NR,NR,NR,NR,C,D,NR,NR,C,NR,--,--,--,--,--,39.1143455,-84.5758231,No
048199,ESC of Lake Erie West,000608,Summit Academy Transition High School-Cincinnati,(513) 5414000,"5800 Salvia Ave, Cincinnati, OH 45224",43752,Cincinnati City,Hamilton,FY08,8-12,Startup,Site,Special Education,0.625573123,0.678029426,0.757363501,--,0.902313954,F,F,NR,F,F,NR,D,D,F,F,NR,F,NR,F,F,NR,D,D,NR,F,NR,F,NR,D,D,NR,F,F,NR,F,NR,NR,NR,NR,NR,NR,C,NR,NR,NR,NR,NR,B,Ab,NR,NR,NR,NR,39.1976462,-84.5443292,No
044453,Newark City,000941,Par Excellence Academy,(740) 3447279,"1350 Granville Rd, Newark, OH 43055",44453,Newark City,Licking,FY06,K-6,Conversion,Site,General Education,0.244386241,0.996253506,0.269940991,--,0.926432678,D,F,NR,F,NR,NR,NR,NR,F,NR,NR,C,NR,C,B,NR,NR,NR,B,NR,NR,C,NR,C,NR,NR,NR,NR,F,NR,NR,F,NR,NR,NR,NR,NR,NR,A,NR,NR,NR,NR,A,NR,C,NR,NR,40.0609248,-82.4521726,No
043786,Cleveland Municipal,012029,Citizens Leadership Academy,(216) 2298185,"9711 Lamont Ave, Cleveland, OH 44106",43786,Cleveland Municipal,Cuyahoga,FY12,6-8,Startup,Site,General Education,1,1,0.204360942,--,0.930935572,C,A,NR,A,A,NR,NR,NR,D,NR,NR,A,NR,A,A,NR,NR,NR,F,NR,NR,A,NR,A,A,NR,NR,NR,F,NR,NR,A,NR,F,C,NR,NR,NR,F,NR,F,D,NR,B,NR,F,B,NR,41.5090304,-81.619349,No
016998,Ohio Council of Community Schools,013253,Ohio College Preparatory School,(216) 4534550,"21100 Southgate Park Blvd, Maple Heights, OH 44137",44305,Maple Heights City,Cuyahoga,FY14,K-12,Startup,Site,General Education,0.996330756,0.999725144,0.144965256,--,0.868096964,D,F,NR,F,F,C,NR,NR,D,NR,B,F,NR,NR,F,C,NR,NR,F,NR,D,F,NR,F,F,F,NR,NR,F,NR,F,F,NR,B,C,F,NR,F,B,NR,NR,A,NR,--,--,--,--,--,41.4137528,-81.5314434,No
048199,ESC of Lake Erie West,000609,Summit Academy School - Lorain,(440) 2880448,"346 Illinois Ave, Lorain, OH 44052",44263,Lorain City,Lorain,FY05,6-12,Startup,Site,Special Education,0.503409587,1,0.811569776,--,0.840218245,F,F,NR,F,F,NR,NR,NR,F,NR,NR,D,NR,F,D,NR,NR,NR,F,NR,NR,C,NR,D,C,NR,NR,NR,F,NR,NR,F,NR,F,F,NR,NR,NR,A,NR,C,C,NR,D,NR,C,C,NR,41.4718556,-82.1624822,No
123257,North Central Ohio ESC,000780,Midnimo Cross Cultural Community School,(614) 2617480,"1567 Loretta Ave, Columbus, OH 43211",43802,Columbus City School District,Franklin,FY07,K-12,Conversion,Site,General Education,0.992350507,1,--,0.523128487,0.94138953,B,A,NR,NR,A,NR,NR,NR,B,NR,NR,A,NR,NR,A,NR,NR,NR,F,NR,NR,A,NR,NR,A,NR,NR,NR,F,NR,NR,A,NR,NR,A,NR,NR,NR,A,NR,NR,A,NR,B,NR,NR,C,NR,40.0144665,-82.9685443,No
044198,Lakewood City,000942,Lakewood City Academy,,,44198,Lakewood City,Cuyahoga,FY06,"#N/A",Conversion,Site,Dropout Prevention and Recovery,0.350385945,0.676977842,0.164230115,--,0.811449574,Meets Standards,23.5,Exceeds Standards,55,Meets Standards,38.7,Meets Standards,Exceeds Standards,44.7,39.4,Does Not Meet Standards,Exceeds Standards,39,Meets Standards,32.3,Meets Standards,32.4,44.7,Exceeds Standards,Meets Standards,39,82.6,Meets Standards,29.6,Meets Standards,32.4,Exceeds Standards,Exceeds Standards,45.7,65,Exceeds Standards,0,Exceeds Standards,Meets Standards,Exceeds Standards,80,23.8,36.8,Exceeds Standards,65,Meets Standards,37.8,41.5,83.3,Meets Standards,29.3,Exceeds Standards,Exceeds Standards,0,0,Yes
016998,Ohio Council of Community Schools,013254,Akron Preparatory School,(330) 2476232,"1200 E Market St Ste 3360, Akron, OH 44305",43489,Akron City,Summit,FY14,K-12,Startup,Site,General Education,0.927681298,0.998523106,0.178049867,--,0.899480979,F,F,NR,NR,F,F,NR,NR,F,NR,D,F,NR,C,F,F,NR,NR,F,NR,D,B,NR,NR,C,C,NR,NR,F,NR,D,A,NR,B,A,C,NR,F,A,NR,B,A,NR,--,--,--,--,--,41.0657838,-81.4842587,No
016998,Ohio Council of Community Schools,013255,Canton College Preparatory School,(330) 4550498; (330) 4550498,"101 Cleveland Ave NW, Canton, OH 44702",43711,Canton City,Stark,FY14,K-12,Startup,Site,General Education,0.890042471,0.998600459,0.17247557,--,0.889322203,C,C,NR,C,C,F,NR,NR,F,NR,A,C,NR,F,C,F,NR,NR,F,NR,D,A,NR,NR,A,B,NR,NR,F,NR,D,F,NR,NR,C,NR,NR,F,B,NR,NR,C,NR,--,--,--,--,--,40.7992305,-81.3766356,No
048199,ESC of Lake Erie West,133306,Summit Academy Community School for Alternative Learn-Canton,(330) 4580393,"1620 Market Ave S, Canton, OH 44707",43711,Canton City,Stark,FY01,K-8,Startup,Site,Special Education,0.281592102,1,0.74342884,--,0.921205676,D,F,NR,C,D,D,NR,NR,D,NR,F,F,NR,C,D,D,NR,NR,F,NR,C,C,NR,C,C,C,NR,NR,F,NR,F,D,NR,D,F,C,NR,F,C,NR,C,B,NR,D,NR,C,C,NR,40.7810349,-81.3832884,No
083246,St Aloysius Orphanage,133801,Life Skills Ctr Of Youngstown,,,45161,Youngstown City,Mahoning,FY00,"#N/A",Startup,Site,Dropout Prevention and Recovery,0.782228601,1,0.27997968,--,0.420612576,Does Not Meet Standards,1.8,Does Not Meet Standards,5.1,Does Not Meet Standards,7.8,Meets Standards,Meets Standards,14.5,10,Does Not Meet Standards,Does Not Meet Standards,5.5,Does Not Meet Standards,4.6,Meets Standards,12.6,13.3,Does Not Meet Standards,Does Not Meet Standards,10,NR,Does Not Meet Standards,3.3,Does Not Meet Standards,8.8,Meets Standards,Does Not Meet Standards,10.2,11.6,Does Not Meet Standards,1.1,Does Not Meet Standards,Does Not Meet Standards,Meets Standards,45,4.4,11.3,Does Not Meet Standards,8.7,Does Not Meet Standards,10.7,9.4,51.6,Does Not Meet Standards,6.9,Does Not Meet Standards,Does Not Meet Standards,0,0,Yes
016998,Ohio Council of Community Schools,143396,Alternative Education Academy,(330) 2538680,"1830 Adams St, Toledo, OH 43604",44909,Toledo City,Lucas,FY02,K-12,Startup,Virtual,General Education,0.350263444,0.800220484,0.216269733,--,0.91381904,F,F,NR,F,F,D,F,F,F,F,F,F,NR,F,C,C,F,F,F,F,D,F,NR,F,C,F,F,F,F,F,F,D,NR,C,D,A,F,F,F,NR,D,C,F,F,NR,F,C,F,41.6592142,-83.5469095,No
000862,Buckeye Community Hope Foundation,143602,Hamilton Cnty Math & Science,(513) 7288620,"2675 Civic Center Dr, Cincinnati, OH 45231",44412,Mt Healthy City,Hamilton,FY02,K-8,Startup,Site,General Education,0.985394465,0.688366872,0.037960838,--,0.984252197,C,D,NR,NR,C,NR,NR,NR,B,NR,C,C,NR,NR,B,NR,NR,NR,F,NR,NR,F,NR,NR,C,NR,NR,NR,F,NR,C,F,NR,NR,F,NR,NR,NR,A,NR,NR,C,NR,A,NR,NR,F,NR,39.2771244,-84.5709107,No
083246,St Aloysius Orphanage,014147,East Preparatory Academy,(216) 5390595,"4129 Superior Ave, Cleveland, OH 44103",43786,Cleveland Municipal,Cuyahoga,FY14,K-8,Startup,Site,General Education,0.958530479,1,0.133119959,--,0.930227433,F,F,NR,NR,F,NR,NR,NR,F,NR,C,D,NR,NR,C,NR,NR,NR,F,NR,C,C,NR,NR,B,NR,NR,NR,F,NR,F,D,NR,NR,D,NR,NR,F,C,NR,NR,NR,NR,--,--,--,--,--,41.5147462,-81.6609237,No
045930,Auglaize County ESC,000288,Auglaize County Educational Academy,(419) 7384572,"1130A East Albert St, Lima, OH 45804",44222,Lima City,Allen,FY05,K-12,Startup,Virtual,Dropout Prevention and Recovery,0.127954018,0.411201432,0.167783612,--,0.991097772,Meets Standards,68,Exceeds Standards,64,Exceeds Standards,70,Exceeds Standards,Exceeds Standards,53.2,63.5,Does Not Meet Standards,Exceeds Standards,45.8,Exceeds Standards,66.7,Exceeds Standards,68.8,53.2,Exceeds Standards,Exceeds Standards,59.5,40,Exceeds Standards,58.6,Exceeds Standards,62.5,Exceeds Standards,Exceeds Standards,62.5,67.3,Exceeds Standards,NR,Meets Standards,Does Not Meet Standards,Meets Standards,42.9,54.8,51.1,Exceeds Standards,63.5,Exceeds Standards,54.3,57.1,55,Exceeds Standards,50,Exceeds Standards,Exceeds Standards,40.729134,-84.088078,No
000862,Buckeye Community Hope Foundation,012528,The Academy for Urban Scholars,(614) 5459890,"1808 E Broad St, Columbus, OH 43203",43802,Columbus City School District,Franklin,FY12,9-12,Startup,Site,Dropout Prevention and Recovery,0.981141073,0.900546256,0.19303891,--,0.335252183,Meets Standards,22.9,Meets Standards,21.6,Meets Standards,35.6,Meets Standards,Meets Standards,33.3,28.2,Exceeds Standards,Meets Standards,14.1,Meets Standards,30.8,Meets Standards,23.8,33.3,Meets Standards,Meets Standards,25.4,53.7,Meets Standards,21.1,Meets Standards,16.9,Meets Standards,Meets Standards,24.7,12.3,Meets Standards,0,Meets Standards,Does Not Meet Standards,Meets Standards,61.1,17.2,24.4,Does Not Meet Standards,8.8,Not Rated,--,18.2,38.5,Meets Standards,12.5,Does Not Meet Standards,Does Not Meet Standards,39.9679698,-82.9527184,No
000862,Buckeye Community Hope Foundation,012529,Focus North High School,(614) 3100430,"4807 Evanswood Dr, Columbus, OH 43229",43802,Columbus City School District,Franklin,FY12,9-12,Startup,Site,Dropout Prevention and Recovery,0.729135297,0.976369696,0.243634209,0.205210441,0.440456389,Meets Standards,19.3,Meets Standards,31.6,Meets Standards,25.9,Meets Standards,Meets Standards,30.2,26.9,Meets Standards,Meets Standards,25.7,Meets Standards,25,Meets Standards,27.5,30.2,Exceeds Standards,Meets Standards,29.1,53.8,Meets Standards,21.8,Meets Standards,22.5,Meets Standards,Exceeds Standards,43.1,23.9,Meets Standards,10,Meets Standards,Does Not Meet Standards,Meets Standards,50,16.2,25,Meets Standards,19.6,Not Rated,--,24.8,54.2,Meets Standards,17.6,Meets Standards,Meets Standards,40.0645425,-82.9949808,No
016998,Ohio Council of Community Schools,014149,Dayton SMART Elementary School,(937) 2222812,"601 S Keowee St, Dayton, OH 45410",43844,Dayton City,Montgomery,FY14,K-6,Startup,Site,General Education,0.847166826,0.997998468,0.159323709,0.197304672,0.899054048,C,C,NR,NR,NR,NR,NR,NR,A,NR,D,C,NR,NR,B,A,NR,NR,F,NR,D,F,NR,NR,D,D,NR,NR,NR,NR,B,NR,NR,NR,NR,NR,NR,F,NR,NR,NR,NR,NR,--,--,--,--,--,39.7533491,-84.1765458,No
046938,ESC of Central Ohio,011972,Graham Elementary and Middle School,(614) 2534000,"140 E 16th Ave, Columbus, OH 43201",43802,Columbus City School District,Franklin,FY11,K-8,Startup,Site,General Education,0.627343562,0.679145367,0.259922082,--,0.892906921,D,A,NR,C,B,NR,NR,NR,F,NR,F,A,NR,C,B,NR,NR,NR,F,NR,NR,A,NR,B,A,NR,NR,NR,F,NR,NR,B,NR,D,C,NR,NR,NR,A,NR,A,A,NR,C,NR,A,B,NR,40.0016762,-83.0044532,No
