School,SchoolOrHome,Type,Latitude,Longitude
Auglaize County Educational Academy,School,Public,40.729134,-84.088078
The Academy for Urban Scholars,School,Public,39.9679698,-82.9527184
Focus North High School,School,Public,40.0645425,-82.9949808
Dayton SMART Elementary School,School,Public,39.7533491,-84.1765458
Graham Elementary and Middle School,School,Public,40.0016762,-83.0044532
Horizon Science Academy Toledo,School,Public,41.6927905,-83.6066648
Horizon Science Academy Dayton Downtown,School,Public,39.7629094,-84.1542919
Townsend North Community School,School,Public,41.399314,-82.802072
STEAM Academy of Dayton,School,Public,0,0
Citizens Academy Southeast,School,Public,41.4456554,-81.5706538
Wildwood Environmental Academy,School,Public,41.6117359,-83.687112
Ashland County Community Academy,School,Public,40.8733094,-82.3132875
STEAM Academy of Warrensville Heights,School,Public,41.4320052,-81.4988596
Stepstone Academy,School,Public,41.4997304,-81.6636481
Marshall High School,School,Public,39.4991005,-84.3463586
River Gate High School,School,Public,41.2346989,-80.8127338
International Acad Of Columbus,School,Public,40.0878843,-82.9527604
Schnee Learning Center,School,Public,41.1372538,-81.4542055
The Capella Institute,School,Public,0,0
Horizon Science Academy-Denison Middle School,School,Public,41.4517134,-81.6930403
New Day Academy Boarding & Day School,School,Public,41.5532297,-81.56119
Apex Academy,School,Public,41.5416253,-81.5662838
Village Preparatory School:: Woodland Hills Campus,School,Public,41.4631435,-81.6222603
Oakstone Community School,School,Public,40.0872973,-82.9516261
"Edge Academy, The",School,Public,41.0837429,-81.5067925
Focus Learning Academy of Northern Columbus,School,Public,40.0874007,-82.9683859
Zenith Academy,School,Public,40.062163,-82.9667465
"Graham School, The",School,Public,40.044994,-82.999248
Near West Intergenerational School,School,Public,41.4851402,-81.7139214
Summit Academy Middle School - Columbus,School,Public,39.91443,-82.958219
Entrepreneurship Preparatory School - Woodland Hills Campus,School,Public,41.4631435,-81.6222603
STEAM Academy of Warren,School,Public,41.2385643,-80.8119118
Youthbuild Columbus Community,School,Public,39.9885761,-82.9884164
Foxfire Intermediate School,School,Public,39.8957947,-82.0476945
Dohn Community,School,Public,39.1266763,-84.4979244
Richard Allen Academy II,School,Public,0,0
Heir Force Community School,School,Public,40.7512421,-84.1061537
Summit Academy Transition High School-Columbus,School,Public,39.91443,-82.958219
Regent High School,School,Public,41.4654219,-81.6500597
AchievePoint Career Academy - Cincinnati,School,Public,39.1303484,-84.6131203
Summit Academy Alternative LearnersWarren Middle & Secondary,School,Public,41.248531,-80.8412929
Mason Run High School,School,Public,39.9521483,-82.9160529
Steel Academy,School,Public,41.1069315,-81.4770292
Old Brook High School,School,Public,41.4249407,-81.7205562
Toledo Preparatory and Fitness Academy,School,Public,41.6371796,-83.6136404
Mound Street IT Careers Academy,School,Public,0,0
Arts & College Preparatory Academy,School,Public,39.9340289,-82.8743675
Columbus Preparatory and Fitness Academy,School,Public,39.9291937,-83.0892325
Summit Academy Community School-Columbus,School,Public,39.91443,-82.958219
Mt. Healthy Preparatory and Fitness Academy,School,Public,39.2329549,-84.54993
Newbridge Math & Reading Preparatory Academy,School,Public,0,0
Summit Academy Community School - Dayton,School,Public,39.8049024,-84.1987403
Summit Academy Secondary - Akron,School,Public,41.0965385,-81.5701505
Summit Academy Community School Alternative Learners -Xenia,School,Public,39.6751004,-83.9592943
Fairborn Digital Academy,School,Public,39.832228,-83.9869609
Northpointe Academy,School,Public,0,0
Zanesville Community School,School,Public,39.9240447,-82.0048625
Beacon Academy,School,Public,40.7853842,-81.3936382
Constellation Schools: Westside Community School of the Arts,School,Public,41.4518114,-81.7633127
Horizon Science Academy Lorain,School,Public,41.438197,-82.1766318
Whitehall Preparatory and Fitness Academy,School,Public,39.9466566,-82.9031292
Horizon Science Academy Dayton High School,School,Public,39.8116038,-84.224422
Bennett Venture Academy,School,Public,41.7096209,-83.5552339
Horizon Science Academy Youngstown,School,Public,41.0647621,-80.6560423
Lincoln Preparatory Academy,School,Public,0,0
The Autism Academy Of Learning,School,Public,41.6364457,-83.6227875
DECA PREP,School,Public,39.7740678,-84.2031065
Cesar Chavez College Preparatory School,School,Public,40.012389,-82.944972
"Ohio Connections Academy, Inc",School,Public,41.5128956,-81.6654452
Ohio Virtual Academy,School,Public,41.5870754,-83.684178
Wings Academy 1,School,Public,41.4783443,-81.6111266
Northeast Ohio College Preparatory School,School,Public,41.4809663,-81.6866005
"Albert Einstein Academy for Letters, Arts and Sciences-Ohio",School,Public,41.4373765,-81.949449
South Columbus Preparatory Academy,School,Public,39.900718,-82.962531
Hope Academy Northwest Campus,School,Public,41.4821801,-81.7671663
Road to Success Academy,School,Public,40.0358115,-82.9646716
Constellation Schools: Westpark Community Elementary,School,Public,41.4515782,-81.8121372
Lighthouse Community Sch Inc,School,Public,39.162775,-84.3904381
Polly Fox Academy Community School,School,Public,0,0
King Academy Community School,School,Public,39.113376,-84.5202937
Wings Academy 2,School,Public,0,0
Central High School,School,Public,39.9577849,-83.0228572
Emerson Academy,School,Public,39.7517066,-84.1809043
Summit Academy Transition High School Dayton,School,Public,39.8161696,-84.2327945
George V. Voinovich Reclamation Academy,School,Public,0,0
Frederick Douglass Reclamation Academy,School,Public,41.4680682,-81.7071562
Summit Academy-Youngstown,School,Public,41.1058595,-80.7009095
Capital High School,School,Public,39.9450884,-83.0360216
Rise & Shine Academy,School,Public,41.6819264,-83.5432047
Patriot Preparatory Academy,School,Public,39.9492517,-82.8641465
University of Cleveland Preparatory School,School,Public,41.5057799,-81.6588129
Cornerstone Academy Community School,School,Public,40.1135495,-82.8270499
Bridge Gate Community School,School,Public,39.9429081,-83.1068793
Summit Academy Community School Alternative Learners-Lorain,School,Public,41.4364517,-82.1204417
Middlebury Academy,School,Public,41.0728837,-81.4878712
Mound Street Military Careers Academy,School,Public,39.7508199,-84.2086362
Lorain K-12 Digital Academy,School,Public,0,0
Springfield Preparatory and Fitness Academy,School,Public,39.9046824,-83.7950013
Euclid Preparatory School,School,Public,41.5759101,-81.521319
Northland Preparatory and Fitness Academy,School,Public,40.0594594,-82.9682599
Summit Academy Community School - Painesville,School,Public,41.7306638,-81.2438391
Imagine Woodbury Academy,School,Public,0,0
East Branch Preparatory AcademydbaWright Preparatory Academy,School,Public,40.8127973,-81.3430326
Youngstown Academy of Excellence,School,Public,41.0914684,-80.6224149
Urban Early College Network,School,Public,39.8000154,-84.2402276
Richard Allen Academy III,School,Public,0,0
Horizon Science Academy Columbus,School,Public,40.0621578,-82.9910615
Life Skills Center Of Toledo,School,Public,41.6592142,-83.5469095
Buckeye Preparatory Academy,School,Public,0,0
Greater Summit County Early Learning Center,School,Public,41.0163939,-81.4627437
"Intergenerational School, The",School,Public,41.4847552,-81.6057245
Pleasant Community Digital,School,Public,0,0
Findlay Digital Academy,School,Public,41.0399658,-83.6691676
Quaker Digital Academy,School,Public,40.4801277,-81.4412891
Horizon Science Academy Elementary School,School,Public,40.0585636,-82.9438328
Stambaugh Charter Academy,School,Public,41.1160104,-80.6967071
L. Hollingworth School for Talented and Gifted,School,Public,41.6384228,-83.5304239
Summit Academy Akron Middle School,School,Public,41.0965385,-81.5701505
Horizon Science Academy-Cleveland Middle School,School,Public,41.5304953,-81.6477455
Mahoning County High School,School,Public,41.113476,-80.5948049
Phoenix Academy Community School,School,Public,0,0
Interactive Media & Construction (IMAC),School,Public,40.7649324,-82.552209
KIPP Columbus,School,Public,40.0290804,-82.9394727
Kids Care Elementary,School,Public,40.0378858,-82.9458705
Glass City Academy,School,Public,41.6521528,-83.5427468
Orchard Park Academy,School,Public,41.4612753,-81.7955303
Great Western Academy,School,Public,39.9604073,-83.0927265
Washington Park Community School,School,Public,41.4492224,-81.6585892
Renaissance Academy,School,Public,39.9422475,-82.8872361
Hope Academy Northcoast,School,Public,41.4415513,-81.6397684
Hardin Community School,School,Public,40.6431801,-83.6036602
Tomorrow Center,School,Public,40.4928942,-82.8795604
Pathway School of Discovery,School,Public,39.7955842,-84.1564216
North Central Academy,School,Public,41.111992,-83.2133717
Toledo School For The Arts,School,Public,41.6565351,-83.5434129
Alliance Academy of Cincinnati,School,Public,39.1421025,-84.470164
Summit Academy Secondary School - Middletown,School,Public,39.5112456,-84.3446536
Franklinton Preparatory Academy,School,Public,39.9594463,-83.0342076
T.C.P. World Academy,School,Public,39.1809913,-84.4268836
Colonial Prep Academy,School,Public,0,0
Mound Street Health Careers Academy,School,Public,0,0
Utica Shale Academy of Ohio,School,Public,40.6364969,-80.7821136
Village Preparatory School Willard,School,Public,41.4711522,-81.7479911
Life Skills Ctr Of Cincinnati,School,Public,39.1279024,-84.4887099
Stark College and Career High School,School,Public,40.7853842,-81.3936382
"Massillon Digital Academy, Inc",School,Public,0,0
Miamisburg Secondary Academy,School,Public,0,0
Southside Academy,School,Public,41.0865887,-80.660133
Cleveland Arts and Social Sciences Academy,School,Public,41.484213,-81.6111349
Central Academy of Ohio,School,Public,41.6698395,-83.6093158
Global Village Academy,School,Public,41.4066227,-81.710998
Canton Harbor High School,School,Public,40.816383,-81.3395547
Hope Academy for Autism,School,Public,41.2242013,-80.7997973
Chapelside Cleveland Academy,School,Public,41.4540418,-81.5907158
Miami Valley Academies,School,Public,39.676635,-84.219992
Invictus High School,School,Public,41.5022083,-81.6657904
Cleveland Academy for Scholarship Technology and Leadership,School,Public,41.5019349,-81.6578874
Charles School at Ohio Dominican University,School,Public,39.9946752,-82.9488954
Bella Academy of Excellence,School,Public,41.5809345,-81.5449872
University Academy,School,Public,41.0691684,-81.4899521
Noble Academy-Cleveland,School,Public,41.5768406,-81.5397885
Imagine Hill Avenue,School,Public,41.638204,-83.687051
Winton Preparatory Academy,School,Public,39.176955,-84.517373
Lincoln Park Academy,School,Public,41.467426,-81.7126849
SunBridge Schools,School,Public,41.6594084,-83.7030851
Main Preparatory Academy,School,Public,41.0535048,-81.5106904
Ohio Construction Academy,School,Public,40.008502,-82.9178395
Riverside Academy,School,Public,39.0863047,-84.5780435
Constellation Schools: Puritas Community Elementary,School,Public,41.4347608,-81.8212776
Life Skills Of Northeast Ohio,School,Public,41.4284698,-81.5255378
Millennium Community School,School,Public,39.9207063,-82.9065344
Buckeye On-Line School for Success,School,Public,40.6191746,-80.5787786
Early College Academy,School,Public,39.9860785,-82.9966032
Citizens Leadership Academy East,School,Public,41.53647,-81.5965785
Summit Academy Secondary - Canton,School,Public,40.8238173,-81.3831166
Summit Academy - Toledo,School,Public,41.6429277,-83.5535298
Rushmore Academy,School,Public,0,0
Life Skills High School of Cleveland,School,Public,0,0
North Dayton School Of Science & Discovery,School,Public,39.8152904,-84.2518329
Summit Academy Community School-Parma,School,Public,41.4034511,-81.7695465
Goal Digital Academy,School,Public,40.7670087,-82.544454
Summit Academy Secondary - Youngstown,School,Public,41.0712115,-80.6346272
Constellation Schools: Eastside Arts Academy,School,Public,41.4522422,-81.6425933
Summit Academy Community School-Warren,School,Public,41.2200298,-80.7866424
Liberty High School,School,Public,39.7661678,-84.1753296
Summit Academy Community School - Cincinnati,School,Public,39.1857528,-84.4678804
Akros Middle School,School,Public,41.0833523,-81.508061
Rittman Academy,School,Public,40.97583,-81.798006
Dayton Leadership Academies-Dayton View Campus,School,Public,39.7615342,-84.2183944
Coshocton Opportunity School,School,Public,40.2582311,-81.8456308
Horizon Science Academy-Cincinnati,School,Public,39.1774771,-84.4809882
"Dayton Early College Academy, Inc",School,Public,39.7389135,-84.1817273
Imagine Akron Academy,School,Public,41.0493082,-81.5779794
Zenith Academy West,School,Public,39.9553523,-83.0911901
Horizon Science Academy-Dayton,School,Public,39.8125502,-84.22373
Phoenix Community Learning Ctr,School,Public,39.1483329,-84.4955826
TRECA Digital Academy,School,Public,40.5714826,-83.1248566
Clark Preparatory Academy,School,Public,0,0
Youngstown Community School,School,Public,41.0904546,-80.6578845
Noble Academy-Columbus,School,Public,40.0626275,-83.0550571
Star Academy of Toledo,School,Public,0,0
Flex High School,School,Public,39.9578127,-83.0157019
South Scioto Academy,School,Public,39.926294,-82.937899
Life Skills Center of Columbus North,School,Public,40.0876954,-82.9673359
Stonebrook Montessori,School,Public,41.5288674,-81.6259848
Dayton Leadership Academies-Early Learning Academy,School,Public,0,0
Mahoning Unlimited Classroom,School,Public,41.0211588,-80.6587026
Dayton Business Technology High School,School,Public,39.7611151,-84.1986039
East Academy,School,Public,41.5546378,-81.5682546
Constellation Schools: Lorain Community Elementary,School,Public,41.4664022,-82.1833445
Constellation Schools: Puritas Community Middle,School,Public,41.4347608,-81.8212776
Discovery Academy,School,Public,41.6787319,-83.609239
iLEAD Spring Meadows,School,Public,41.61188,-83.7256609
Richard Allen Preparatory,School,Public,39.7640504,-84.2075817
Sciotoville,School,Public,38.7585589,-82.8886315
West Park Academy,School,Public,41.4264978,-81.7786594
Global Ambassadors Language Academy,School,Public,41.4574915,-81.7842302
Autism Model School,School,Public,41.7182659,-83.6170531
Harvard Avenue Performance Academy,School,Public,41.4480618,-81.5984562
Groveport Community School,School,Public,39.8777741,-82.8854279
Horizon Science Academy Columbus Middle School,School,Public,40.060525,-82.956289
Life Skills Center of Elyria,School,Public,41.4013087,-82.1067366
Eagle Learning Center,School,Public,41.6375317,-83.4844413
Cliff Park High School,School,Public,39.9344258,-83.806381
Constellation Schools: Stockyard Community Elementary,School,Public,41.4674609,-81.7307281
Franklin Local Community School,School,Public,0,0
Foxfire High School,School,Public,39.8957947,-82.0476945
Columbus Collegiate Academy - West,School,Public,39.9520993,-83.0342076
Beacon Hill Academy,School,Public,40.671824,-81.702346
Imagine Leadership Academy,School,Public,41.0493082,-81.5779794
Westside Academy,School,Public,39.9356954,-83.1122293
Southwest Ohio Preparatory School,School,Public,39.1952403,-84.5704435
A+ Children's Academy,School,Public,39.8823721,-82.996981
Zenith Academy East,School,Public,39.9285849,-82.8813067
Richard Allen Academy,School,Public,39.3835842,-84.5439495
Akron Digital Academy,School,Public,0,0
Village Preparatory School,School,Public,41.5136256,-81.6665337
Bridges Community Academy,School,Public,41.0979128,-83.1681756
Life Skills Center of North Akron,School,Public,41.102851,-81.4670554
Monroe Preparatory Academy,School,Public,41.4513668,-82.703772
United Preparatory Academy East,School,Public,39.9568865,-82.9595235
Constellation Schools: Westpark Community Middle,School,Public,41.4515782,-81.8121372
Broadway Academy,School,Public,41.4656044,-81.6522654
Menlo Park Academy,School,Public,41.4731999,-81.7207252
Life Skills Center of Dayton,School,Public,39.7788143,-84.2056559
Everest High School,School,Public,39.9529277,-82.7971456
United Preparatory Academy,School,Public,39.9578735,-83.0167091
Constellation Schools: Madison Community Elementary,School,Public,41.4768235,-81.7480001
Achieve Career Preparatory Academy,School,Public,41.6905303,-83.5656969
Horizon Science Acad Cleveland,School,Public,41.5309122,-81.6486503
Cincinnati College Preparatory Academy,School,Public,39.1109566,-84.5283626
Green Inspiration Academy,School,Public,41.444329,-81.5276298
West Preparatory Academy,School,Public,41.4247872,-81.7816285
Sullivant Avenue Community School,School,Public,39.942051,-83.0905281
Harrisburg Pike Community School,School,Public,39.9437179,-83.036098
Lorain Preparatory Academy,School,Public,41.4322517,-82.2018087
Madison Avenue School of Arts,School,Public,41.6558715,-83.5454109
Horizon Science Academy Denison Elementary School,School,Public,0,0
Westwood Preparatory Academy,School,Public,39.9577849,-83.0228572
Clay Avenue Community School,School,Public,41.6827213,-83.5228873
Klepinger Community School,School,Public,39.8003233,-84.2442611
Mount Auburn International Academy,School,Public,0,0
West Central Learning Academy II,School,Public,40.7430893,-84.1110621
Liberty Preparatory School,School,Public,40.8651697,-81.8601273
City Day Community School,School,Public,39.7549016,-84.1898719
Pinnacle Academy,School,Public,41.5907814,-81.5274736
Performance Academy Eastland,School,Public,39.9298813,-82.8770591
Cleveland College Preparatory School,School,Public,41.455525,-81.656059
Insight School of Ohio,School,Public,0,0
Winterfield Venture Academy,School,Public,41.6343463,-83.6437376
Columbus Performance Academy,School,Public,39.9813337,-82.9960155
Focus Learning Academy of Southwest Columbus,School,Public,39.9325,-82.9906836
Cincinnati Learning Schools,School,Public,0,0
REACH Academy,School,Public,0,0
Trotwood Preparatory & Fitness Academy,School,Public,39.8179138,-84.2952701
STEAM Academy of Akron,School,Public,41.0355412,-81.4967583
T2 Honors Academy,School,Public,41.4312823,-81.5510726
Academy of Educational Excellence,School,Public,41.6474547,-83.5949156
Constellation Schools: Elyria Community,School,Public,41.3818562,-82.0781212
Cleveland Entrepreneurship Preparatory School,School,Public,0,0
Madisonville SMART Elementary,School,Public,0,0
Brookwood Academy,School,Public,0,0
Cleveland Preparatory Academy,School,Public,41.425829,-81.720407
"Maritime Academy of Toledo, The",School,Public,41.6551341,-83.5278216
Columbus Collegiate Academy,School,Public,39.9568865,-82.9595235
The Haley School,School,Public,0,0
Constellation Schools: Lorain Community Middle,School,Public,41.4664022,-82.1833445
Constellation Schools: Old Brooklyn Community Middle,School,Public,41.433941,-81.7077967
Summit Academy Akron Elementary School,School,Public,41.048857,-81.4396901
Promise Academy,School,Public,41.5039501,-81.6843548
Citizens Academy East,School,Public,41.53647,-81.5965785
Imagine Columbus Primary School,School,Public,40.0629239,-82.9662439
Newark Digital Academy,School,Public,0,0
Lakeland Academy Community School,School,Public,40.2105092,-81.2667244
Academy for Urban Scholars Youngstown,School,Public,41.064848,-80.6610432
East Bridge Academy of Excellence,School,Public,39.9349024,-82.8335162
Columbus Bilingual Academy-North,School,Public,40.0617349,-82.9639913
Lake Erie College Preparatory School,School,Public,41.5521493,-81.5813206
Educational Academy for Boys & Girls,School,Public,39.9548177,-83.0582028
Summit Acdy Comm Schl for Alternative Learners of Middletown,School,Public,39.5102568,-84.3442017
The Richland School of Academic Arts,School,Public,40.7609403,-82.5683229
Citizens Academy,School,Public,41.5239339,-81.6181716
Horizon Science Academy-Springfield,School,Public,41.628571,-83.6656778
Life Skills Center of Columbus Southeast,School,Public,39.9255334,-82.878447
Anton Grdina ,School,Public,41.4782583,-81.6389551
Crosby Elementary School,School,Public,39.2766386,-84.716958
Pymatuning Valley Primary Elementary School,School,Public,41.6094396,-80.5854316
Buckeye Valley East Elementary School,School,Public,40.4094648,-82.9471776
Avondale Elementary School,School,Public,39.9562113,-83.0255549
Barnesville High School,School,Public,39.9868434,-81.1571965
Bear Elementary School,School,Public,39.634013,-84.30273
Black River High School,School,Public,41.0567498,-82.1734877
Caldwell Elementary School,School,Public,39.7401764,-81.5245848
Thurgood Marshall High School,School,Public,39.7628246,-84.261184
Dorothy E Lewis Elementary School,School,Public,41.410958,-81.449752
East High School ,School,Public,39.9671025,-82.9608814
Emerson Primary School,School,Public,40.2795769,-84.1696847
Firestone High School,School,Public,41.1189134,-81.5646986
Benjamin Logan Elementary School,School,Public,40.4100017,-83.6531938
Boardman High School,School,Public,41.0111623,-80.6684737
Como Elementary School,School,Public,40.0258513,-82.9926149
Fairfax Elementary School,School,Public,41.4926963,-81.5658982
Ada Elementary School,School,Public,40.7747376,-83.8294826
Centerburg High School,School,Public,40.294354,-82.705479
Davey Elementary School,School,Public,41.1576828,-81.3670015
Chambers Elementary School,School,Public,41.5408925,-81.5832041
Chestnut Intermediate Elementary School,School,Public,41.3990777,-81.9532042
East Canton High School,School,Public,40.7893435,-81.2791758
Toth Elementary School,School,Public,41.5537307,-83.6216234
Badger High School,School,Public,41.4137132,-80.5794299
Belpre High School,School,Public,39.2750849,-81.5771012
Blanchester Middle School,School,Public,39.299119,-83.9675636
Botkins High School,School,Public,40.4688865,-84.1796144
Buckeye Elementary School,School,Public,40.9133641,-80.8594869
Cambridge Middle School,School,Public,40.0514871,-81.5829546
Cedarwood Alternative Elementary School,School,Public,39.884089,-82.979327
Swanton Middle School,School,Public,41.5844508,-83.8937494
Fairview-Clifton German Language School,School,Public,39.1494666,-84.5196793
Bellefontaine High School,School,Public,40.3482931,-83.7535323
Bryan Elementary,School,Public,41.458431,-84.5689529
East Elementary School,School,Public,40.4886994,-81.4365683
Judith A Resnik Community Learning Center,School,Public,41.1171692,-81.5832927
Berea-Midpark Middle School,School,Public,41.3778995,-81.8048339
Arcadia High School,School,Public,41.1064685,-83.5150996
Bexley High School,School,Public,39.963655,-82.9303272
Bridgetown Middle School,School,Public,39.1603573,-84.6283725
Shaker Hts Middle School,School,Public,41.4773421,-81.5334151
Louise Troy Elementary School,School,Public,39.7369594,-84.2251626
London MIddle School,School,Public,39.9072364,-83.4531607
Cheviot School,School,Public,39.1587027,-84.617203
Clinton-Massie High School,School,Public,39.4466924,-83.9851733
Norwayne Middle School,School,Public,40.965294,-81.9029819
Waverly Primary School,School,Public,39.1318936,-83.0023416
Edgewater Elementary School,School,Public,41.7216689,-83.4704284
Elida High School,School,Public,40.7897771,-84.195762
Atkinson Elementary School,School,Public,41.3367052,-83.1001732
East Liverpool High School,School,Public,40.6277331,-80.5676996
Elida Middle School,School,Public,40.7874998,-84.1874185
Burroughs Elementary School,School,Public,39.943889,-83.0677648
Glenwood Middle School,School,Public,41.0610764,-83.6490864
Clearcreek Elementary School,School,Public,39.5470479,-84.232431
Elmwood Middle School,School,Public,41.255188,-83.5520465
Pike-Delta-York Middle School,School,Public,41.5804288,-83.9944482
Dundee Elementary School,School,Public,40.5852994,-81.6083806
Allen East Elementary School,School,Public,40.733796,-83.931273
First Step Preschool and Daycare,School,Public,41.357433,-81.770396
Austintown Middle School,School,Public,41.091889,-80.733631
Brimfield Elementary School,School,Public,41.103686,-81.3437178
Harrison Central Jr./Sr. High School,School,Public,40.2689332,-80.9922728
Canfield High School,School,Public,41.028398,-80.7732256
Case Community Learning Center,School,Public,41.1164386,-81.5648523
Ella Canavan Elementary School,School,Public,41.126736,-81.870718
Findley Community Learning Center,School,Public,41.1027272,-81.5172619
Auburn Elementary School,School,Public,40.8838529,-82.6734484
Bowling Green Middle School,School,Public,41.3885291,-83.6577274
Bucyrus Secondary School,School,Public,40.813664,-82.9899949
East Palestine High School,School,Public,40.8399626,-80.5461021
Edwards Middle School,School,Public,41.2345437,-81.8406721
South Central Elementary School,School,Public,41.0490696,-82.5189741
Westlake Elementary School,School,Public,41.4476223,-81.9268054
Bethel Tate High School,School,Public,38.9628625,-84.0644854
William Bruce Elementary School,School,Public,39.749397,-84.626022
Zane Trace Elementary School,School,Public,39.4277482,-82.9375514
John Clem Elementary School,School,Public,40.071441,-82.425421
Denver Place Elementary School,School,Public,39.4548906,-83.8231876
Frederick Douglass School,School,Public,39.1282823,-84.4864267
Eastern High School,School,Public,39.0301061,-82.842278
Federal Hocking High School,School,Public,39.3119524,-81.879507
Winton Woods Intermediate School,School,Public,39.2824448,-84.5047089
Franklin Elementary School,School,Public,41.3558311,-82.1132979
Berlin Elementary School,School,Public,40.5611806,-81.8013412
Cardinal Middle School,School,Public,41.468427,-81.06439
Cedar Elementary School,School,Public,40.794529,-81.4066915
Chase School,School,Public,39.1620656,-84.5429411
Claymont Middle School,School,Public,40.3944809,-81.3451839
Northwestern Middle School,School,Public,40.8920016,-82.1073689
Cory-Rawson High School,School,Public,40.937742,-83.805496
Crestview Elementary School,School,Public,40.9167516,-84.7016126
Danville High School,School,Public,40.4473063,-82.2616398
Dominion Middle School,School,Public,40.0540678,-83.0102037
Buhrer,School,Public,41.4682218,-81.6946085
Col Crawford High School,School,Public,40.786122,-82.853832
Byrnedale Elementary School,School,Public,41.610385,-83.629547
Antwerp Local Elementary School,School,Public,41.1782454,-84.729434
Ridge Elementary School,School,Public,41.6546165,-81.3582455
Fairfield Central Elementary School,School,Public,39.3413293,-84.5335803
Clara E Westropp School,School,Public,41.4334621,-81.831315
Chippewa Intermediate School,School,Public,40.9613859,-81.6923256
Jacob Coy Middle School,School,Public,39.7136721,-84.0013572
Frazeysburg Elementary School,School,Public,40.1196751,-82.1135171
Adlai Stevenson School,School,Public,41.454865,-81.5509811
Berne Union High School,School,Public,39.629482,-82.545978
Buchtel High School,School,Public,41.086213,-81.559941
Conotton Valley High School,School,Public,40.46303,-81.218821
David Anderson Jr/Sr High School,School,Public,40.7754336,-80.7725341
East End Elementary School,School,Public,39.4471354,-83.8153239
Milkovich Middle School,School,Public,41.414399,-81.540225
Edison Elementary School,School,Public,40.8792427,-82.3295046
Adena Elementary School,School,Public,39.4156613,-83.1946156
Fort Frye High School,School,Public,39.5475769,-81.6316783
Bloomfield High School,School,Public,41.46428,-80.87187
Brookfield Elementary School,School,Public,41.2257896,-80.5614223
Fairfax Elementary School,School,Public,41.694015,-81.3486719
Ada High School,School,Public,40.7747376,-83.8294826
Amanda-Clearcreek High School,School,Public,39.6496392,-82.7348828
Paint Valley Middle School,School,Public,39.2440211,-83.215769
Brookview Elementary School,School,Public,41.4044558,-81.7926478
Streetsboro Elementary School,School,Public,41.2342713,-81.3221934
Carrollton High School-Carrollton Middle School,School,Public,40.5732645,-81.0825369
Clinton Elementary School ,School,Public,40.0307579,-83.0150723
Lakeside Junior High School,School,Public,41.8429402,-80.8247404
Devonshire Alternative Elementary School,School,Public,40.094615,-82.982995
Greenville Elementary School,School,Public,40.115764,-84.6147152
Blanchester High School,School,Public,39.2989859,-83.9696138
Buckeye High School,School,Public,41.189708,-81.926195
Cambridge High School,School,Public,40.0523679,-81.5831952
Cherry Valley Elementary School,School,Public,40.0501135,-82.4403219
Charles W Springmyer Elementary School,School,Public,39.168692,-84.653675
Coldwater High School,School,Public,40.4820542,-84.6300194
Andrew J Rickoff ,School,Public,41.4629998,-81.5793387
Chaney High,School,Public,41.0923299,-80.6957107
Riverdale Elementary School,School,Public,40.86896,-83.517611
Adamsville Elementary School,School,Public,40.06602,-81.881849
West Clermont Middle School,School,Public,39.0610523,-84.22981
Aurora High School,School,Public,41.3101271,-81.3508443
